Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;07/04/2020;>50-60%;1;12252023;52%
Guarulhos;SP;3518800;07/04/2020;>50-60%;1;1379182;51%
Campinas;SP;3509502;07/04/2020;>50-60%;1;1204073;50%
São Bernardo do Campo;SP;3548708;07/04/2020;>50-60%;1;838936;52%
São José dos Campos;SP;3549904;07/04/2020;>50-60%;1;721944;51%
Santo André;SP;3547809;07/04/2020;>50-60%;1;718773;52%
Ribeirão Preto;SP;3543402;07/04/2020;>40-50%;1;703293;47%
Osasco;SP;3534401;07/04/2020;>50-60%;1;698418;52%
Sorocaba;SP;3552205;07/04/2020;>40-50%;1;679378;48%
Mauá;SP;3529401;07/04/2020;>50-60%;1;472912;51%
São José do Rio Preto;SP;3549805;07/04/2020;>40-50%;1;460671;45%
Mogi das Cruzes;SP;3530607;07/04/2020;>50-60%;1;445842;53%
Santos;SP;3548500;07/04/2020;>50-60%;1;433311;51%
Diadema;SP;3513801;07/04/2020;>50-60%;1;423884;53%
Jundiaí;SP;3525904;07/04/2020;>40-50%;1;418962;47%
Piracicaba;SP;3538709;07/04/2020;>40-50%;1;404142;47%
Carapicuíba;SP;3510609;07/04/2020;>50-60%;1;400927;52%
Bauru;SP;3506003;07/04/2020;>40-50%;1;376818;45%
Estado de São Paulo;;;07/04/2020;>50-60%;1;;51%
Americana;SP;3501608;07/04/2020;>40-50%;1;239597;50%
Amparo;SP;3501905;07/04/2020;>50-60%;1;72195;52%
Araçatuba;SP;3502804;07/04/2020;>40-50%;1;197016;44%
Araraquara;SP;3503208;07/04/2020;>40-50%;1;236072;46%
Araras;SP;3503307;07/04/2020;>50-60%;1;134236;50%
Arujá;SP;3503901;07/04/2020;>50-60%;1;89824;51%
Assis;SP;3504008;07/04/2020;>40-50%;1;104386;50%
Atibaia;SP;3504107;07/04/2020;>50-60%;1;142761;51%
Avaré;SP;3504503;07/04/2020;>50-60%;1;90655;51%
Barretos;SP;3505500;07/04/2020;>40-50%;1;122098;49%
Barueri;SP;3505708;07/04/2020;>40-50%;1;274182;47%
Bebedouro;SP;3506102;07/04/2020;>50-60%;1;77496;59%
Birigui;SP;3506508;07/04/2020;>50-60%;1;123638;51%
Botucatu;SP;3507506;07/04/2020;>50-60%;1;146497;51%
Bragança Paulista;SP;3507605;07/04/2020;>40-50%;1;168668;48%
Caçapava;SP;3508504;07/04/2020;>50-60%;1;94263;57%
Caieiras;SP;3509007;07/04/2020;>50-60%;1;101470;52%
Cajamar;SP;3509205;07/04/2020;>50-60%;1;76801;55%
Campo Limpo Paulista;SP;3509601;07/04/2020;>50-60%;1;84650;54%
Caraguatatuba;SP;3510500;07/04/2020;>50-60%;1;121532;59%
Catanduva;SP;3511102;07/04/2020;>40-50%;1;121862;44%
Cotia;SP;3513009;07/04/2020;>50-60%;1;249210;54%
Cruzeiro;SP;3513405;07/04/2020;>60-70%;1;82238;63%
Cubatão;SP;3513504;07/04/2020;>40-50%;1;130705;47%
Embu das Artes;SP;3515004;07/04/2020;>50-60%;1;273726;51%
Ferraz de Vasconcelos;SP;3515707;07/04/2020;>50-60%;1;194276;51%
Franca;SP;3516200;07/04/2020;>40-50%;1;353187;46%
Francisco Morato;SP;3516309;07/04/2020;>40-50%;1;175844;50%
Franco da Rocha;SP;3516408;07/04/2020;>50-60%;1;154489;52%
Guaratinguetá;SP;3518404;07/04/2020;>50-60%;1;121798;55%
Guarujá;SP;3518701;07/04/2020;>50-60%;1;320459;54%
Hortolândia;SP;3519071;07/04/2020;>50-60%;1;230851;51%
Ibiúna;SP;3519709;07/04/2020;>50-60%;1;78878;59%
Indaiatuba;SP;3520509;07/04/2020;>50-60%;1;251627;53%
Itanhaém;SP;3522109;07/04/2020;>50-60%;1;101816;59%
Itapecerica da Serra;SP;3522208;07/04/2020;>50-60%;1;175693;56%
Itapetininga;SP;3522307;07/04/2020;>50-60%;1;163901;52%
Itapeva;SP;3522406;07/04/2020;>40-50%;1;94354;49%
Itapevi;SP;3522505;07/04/2020;>40-50%;1;237700;50%
Itapira;SP;3522604;07/04/2020;>50-60%;1;74773;53%
Itaquaquecetuba;SP;3523107;07/04/2020;>50-60%;1;370821;54%
Itatiba;SP;3523404;07/04/2020;>40-50%;1;120858;49%
Itu;SP;3523909;07/04/2020;>40-50%;1;173939;50%
Jaboticabal;SP;3524303;07/04/2020;>50-60%;1;77263;51%
Jacareí;SP;3524402;07/04/2020;>50-60%;1;233662;51%
Jandira;SP;3525003;07/04/2020;>40-50%;1;124937;50%
Jaú;SP;3525300;07/04/2020;>50-60%;1;150252;50%
