Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;02/04/2020;>50-60%;1;12252023;56%
Guarulhos;SP;3518800;02/04/2020;>50-60%;1;1379182;55%
Campinas;SP;3509502;02/04/2020;>50-60%;1;1204073;54%
São Bernardo do Campo;SP;3548708;02/04/2020;>50-60%;1;838936;55%
São José dos Campos;SP;3549904;02/04/2020;>50-60%;1;721944;55%
Santo André;SP;3547809;02/04/2020;>50-60%;1;718773;56%
Ribeirão Preto;SP;3543402;02/04/2020;>50-60%;1;703293;51%
Osasco;SP;3534401;02/04/2020;>50-60%;1;698418;56%
Sorocaba;SP;3552205;02/04/2020;>50-60%;1;679378;52%
Mauá;SP;3529401;02/04/2020;>50-60%;1;472912;56%
São José do Rio Preto;SP;3549805;02/04/2020;>40-50%;1;460671;49%
Mogi das Cruzes;SP;3530607;02/04/2020;>50-60%;1;445842;58%
Santos;SP;3548500;02/04/2020;>50-60%;1;433311;55%
Diadema;SP;3513801;02/04/2020;>50-60%;1;423884;57%
Jundiaí;SP;3525904;02/04/2020;>50-60%;1;418962;51%
Piracicaba;SP;3538709;02/04/2020;>50-60%;1;404142;52%
Carapicuíba;SP;3510609;02/04/2020;>50-60%;1;400927;57%
Bauru;SP;3506003;02/04/2020;>40-50%;1;376818;49%
Estado de São Paulo;;;02/04/2020;>50-60%;1;;55%
Americana;SP;3501608;02/04/2020;>50-60%;1;239597;53%
Amparo;SP;3501905;02/04/2020;>50-60%;1;72195;56%
Araçatuba;SP;3502804;02/04/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;02/04/2020;>40-50%;1;236072;49%
Araras;SP;3503307;02/04/2020;>40-50%;1;134236;48%
Arujá;SP;3503901;02/04/2020;>50-60%;1;89824;54%
Assis;SP;3504008;02/04/2020;>50-60%;1;104386;53%
Atibaia;SP;3504107;02/04/2020;>50-60%;1;142761;58%
Avaré;SP;3504503;02/04/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;02/04/2020;>50-60%;1;122098;54%
Barueri;SP;3505708;02/04/2020;>40-50%;1;274182;49%
Bebedouro;SP;3506102;02/04/2020;>60-70%;1;77496;62%
Birigui;SP;3506508;02/04/2020;>50-60%;1;123638;55%
Botucatu;SP;3507506;02/04/2020;>50-60%;1;146497;54%
Bragança Paulista;SP;3507605;02/04/2020;>50-60%;1;168668;51%
Caçapava;SP;3508504;02/04/2020;>60-70%;1;94263;63%
Caieiras;SP;3509007;02/04/2020;>50-60%;1;101470;55%
Cajamar;SP;3509205;02/04/2020;>50-60%;1;76801;58%
Campo Limpo Paulista;SP;3509601;02/04/2020;>50-60%;1;84650;58%
Caraguatatuba;SP;3510500;02/04/2020;>60-70%;1;121532;63%
Catanduva;SP;3511102;02/04/2020;>40-50%;1;121862;47%
Cotia;SP;3513009;02/04/2020;>60-70%;1;249210;60%
Cruzeiro;SP;3513405;02/04/2020;>60-70%;1;82238;68%
Cubatão;SP;3513504;02/04/2020;>40-50%;1;130705;49%
Embu das Artes;SP;3515004;02/04/2020;>50-60%;1;273726;56%
Ferraz de Vasconcelos;SP;3515707;02/04/2020;>40-50%;1;194276;46%
Franca;SP;3516200;02/04/2020;>40-50%;1;353187;48%
Francisco Morato;SP;3516309;02/04/2020;>50-60%;1;175844;52%
Franco da Rocha;SP;3516408;02/04/2020;>50-60%;1;154489;56%
Guaratinguetá;SP;3518404;02/04/2020;>50-60%;1;121798;58%
Guarujá;SP;3518701;02/04/2020;>50-60%;1;320459;59%
Hortolândia;SP;3519071;02/04/2020;>50-60%;1;230851;56%
Ibiúna;SP;3519709;02/04/2020;>60-70%;1;78878;64%
Indaiatuba;SP;3520509;02/04/2020;>50-60%;1;251627;56%
Itanhaém;SP;3522109;02/04/2020;>60-70%;1;101816;63%
Itapecerica da Serra;SP;3522208;02/04/2020;>50-60%;1;175693;59%
Itapetininga;SP;3522307;02/04/2020;>50-60%;1;163901;55%
