Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;13/04/2020;>40-50%;1;12252023;50%
Guarulhos;SP;3518800;13/04/2020;>50-60%;1;1379182;52%
Campinas;SP;3509502;13/04/2020;>40-50%;1;1204073;48%
São Bernardo do Campo;SP;3548708;13/04/2020;>50-60%;1;838936;51%
São José dos Campos;SP;3549904;13/04/2020;>40-50%;1;721944;50%
Santo André;SP;3547809;13/04/2020;>50-60%;1;718773;52%
Ribeirão Preto;SP;3543402;13/04/2020;>40-50%;1;703293;44%
Osasco;SP;3534401;13/04/2020;>50-60%;1;698418;52%
Sorocaba;SP;3552205;13/04/2020;>40-50%;1;679378;48%
Mauá;SP;3529401;13/04/2020;>50-60%;1;472912;53%
São José do Rio Preto;SP;3549805;13/04/2020;>40-50%;1;460671;43%
Mogi das Cruzes;SP;3530607;13/04/2020;>50-60%;1;445842;54%
Santos;SP;3548500;13/04/2020;>40-50%;1;433311;49%
Diadema;SP;3513801;13/04/2020;>50-60%;1;423884;54%
Jundiaí;SP;3525904;13/04/2020;>40-50%;1;418962;48%
Piracicaba;SP;3538709;13/04/2020;>40-50%;1;404142;47%
Carapicuíba;SP;3510609;13/04/2020;>50-60%;1;400927;54%
Estado de São Paulo;;;13/04/2020;>40-50%;1;;50%
Americana;SP;3501608;13/04/2020;>40-50%;1;239597;47%
Amparo;SP;3501905;13/04/2020;>50-60%;1;72195;53%
Araçatuba;SP;3502804;13/04/2020;>40-50%;1;197016;43%
Araraquara;SP;3503208;13/04/2020;>40-50%;1;236072;45%
Araras;SP;3503307;13/04/2020;>50-60%;1;134236;51%
Arujá;SP;3503901;13/04/2020;>50-60%;1;89824;55%
Assis;SP;3504008;13/04/2020;>40-50%;1;104386;49%
Atibaia;SP;3504107;13/04/2020;>50-60%;1;142761;52%
Avaré;SP;3504503;13/04/2020;>50-60%;1;90655;51%
Barretos;SP;3505500;13/04/2020;>40-50%;1;122098;47%
Barueri;SP;3505708;13/04/2020;>40-50%;1;274182;45%
Bauru;SP;3506003;13/04/2020;>40-50%;1;376818;44%
Bebedouro;SP;3506102;13/04/2020;>50-60%;1;77496;58%
Birigui;SP;3506508;13/04/2020;>50-60%;1;123638;51%
Botucatu;SP;3507506;13/04/2020;>50-60%;1;146497;53%
Bragança Paulista;SP;3507605;13/04/2020;>40-50%;1;168668;48%
Caçapava;SP;3508504;13/04/2020;>50-60%;1;94263;59%
Caieiras;SP;3509007;13/04/2020;>50-60%;1;101470;55%
Cajamar;SP;3509205;13/04/2020;>50-60%;1;76801;58%
Campo Limpo Paulista;SP;3509601;13/04/2020;>50-60%;1;84650;56%
Caraguatatuba;SP;3510500;13/04/2020;>50-60%;1;121532;57%
Catanduva;SP;3511102;13/04/2020;>50-60%;1;121862;50%
Cotia;SP;3513009;13/04/2020;>50-60%;1;249210;52%
Cruzeiro;SP;3513405;13/04/2020;>60-70%;1;82238;60%
Cubatão;SP;3513504;13/04/2020;>50-60%;1;130705;51%
Embu das Artes;SP;3515004;13/04/2020;>50-60%;1;273726;51%
Ferraz de Vasconcelos;SP;3515707;13/04/2020;>50-60%;1;194276;52%
Franca;SP;3516200;13/04/2020;>40-50%;1;353187;46%
Francisco Morato;SP;3516309;13/04/2020;>50-60%;1;175844;51%
Franco da Rocha;SP;3516408;13/04/2020;>50-60%;1;154489;54%
Guaratinguetá;SP;3518404;13/04/2020;>50-60%;1;121798;60%
Guarujá;SP;3518701;13/04/2020;>50-60%;1;320459;54%
Hortolândia;SP;3519071;13/04/2020;>50-60%;1;230851;52%
Ibiúna;SP;3519709;13/04/2020;>50-60%;1;78878;57%
Indaiatuba;SP;3520509;13/04/2020;>50-60%;1;251627;52%
Itanhaém;SP;3522109;13/04/2020;>50-60%;1;101816;58%
Itapecerica da Serra;SP;3522208;13/04/2020;>50-60%;1;175693;56%
Itapetininga;SP;3522307;13/04/2020;>50-60%;1;163901;51%
Itapeva;SP;3522406;13/04/2020;>40-50%;1;94354;48%
Itapevi;SP;3522505;13/04/2020;>50-60%;1;237700;52%
Itapira;SP;3522604;13/04/2020;>50-60%;1;74773;53%
Itaquaquecetuba;SP;3523107;13/04/2020;>50-60%;1;370821;56%
Itatiba;SP;3523404;13/04/2020;>40-50%;1;120858;47%
Itu;SP;3523909;13/04/2020;>40-50%;1;173939;49%
Jaboticabal;SP;3524303;13/04/2020;>40-50%;1;77263;40%
Jacareí;SP;3524402;13/04/2020;>50-60%;1;233662;52%
Jandira;SP;3525003;13/04/2020;>50-60%;1;124937;51%
Jaú;SP;3525300;13/04/2020;>40-50%;1;150252;50%
Leme;SP;3526704;13/04/2020;>50-60%;1;103391;51%
Limeira;SP;3526902;13/04/2020;>40-50%;1;306114;42%
Lins;SP;3527108;13/04/2020;>40-50%;1;78013;49%
Lorena;SP;3527207;13/04/2020;>60-70%;1;88706;62%
Mairiporã;SP;3528502;13/04/2020;>50-60%;1;100179;57%
