Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;31/03/2020;>50-60%;1;12252023;56%
Guarulhos;SP;3518800;31/03/2020;>50-60%;1;1379182;55%
Campinas;SP;3509502;31/03/2020;>50-60%;1;1204073;55%
São Bernardo do Campo;SP;3548708;31/03/2020;>50-60%;1;838936;56%
São José dos Campos;SP;3549904;31/03/2020;>50-60%;1;721944;56%
Santo André;SP;3547809;31/03/2020;>50-60%;1;718773;56%
Ribeirão Preto;SP;3543402;31/03/2020;>50-60%;1;703293;51%
Osasco;SP;3534401;31/03/2020;>50-60%;1;698418;57%
Sorocaba;SP;3552205;31/03/2020;>50-60%;1;679378;53%
Mauá;SP;3529401;31/03/2020;>50-60%;1;472912;57%
São José do Rio Preto;SP;3549805;31/03/2020;>40-50%;1;460671;49%
Mogi das Cruzes;SP;3530607;31/03/2020;>50-60%;1;445842;58%
Santos;SP;3548500;31/03/2020;>50-60%;1;433311;55%
Diadema;SP;3513801;31/03/2020;>50-60%;1;423884;58%
Jundiaí;SP;3525904;31/03/2020;>50-60%;1;418962;51%
Piracicaba;SP;3538709;31/03/2020;>50-60%;1;404142;53%
Carapicuíba;SP;3510609;31/03/2020;>50-60%;1;400927;51%
Bauru;SP;3506003;31/03/2020;>40-50%;1;376818;50%
Estado de São Paulo;;;31/03/2020;>50-60%;1;;55%
Americana;SP;3501608;31/03/2020;>50-60%;1;239597;54%
Amparo;SP;3501905;31/03/2020;>50-60%;1;72195;57%
Araçatuba;SP;3502804;31/03/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;31/03/2020;>50-60%;1;236072;51%
Araras;SP;3503307;31/03/2020;>50-60%;1;134236;54%
Arujá;SP;3503901;31/03/2020;>50-60%;1;89824;56%
Assis;SP;3504008;31/03/2020;>50-60%;1;104386;55%
Atibaia;SP;3504107;31/03/2020;>50-60%;1;142761;58%
Avaré;SP;3504503;31/03/2020;>50-60%;1;90655;57%
