Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;03/05/2020;>50-60%;1;12252023;58%
Guarulhos;SP;3518800;03/05/2020;>60-70%;1;1379182;63%
Campinas;SP;3509502;03/05/2020;>50-60%;1;1204073;57%
São Bernardo do Campo;SP;3548708;03/05/2020;>50-60%;1;838936;59%
São José dos Campos;SP;3549904;03/05/2020;>60-70%;1;721944;61%
Santo André;SP;3547809;03/05/2020;>50-60%;1;718773;59%
Ribeirão Preto;SP;3543402;03/05/2020;>50-60%;1;703293;53%
Osasco;SP;3534401;03/05/2020;>60-70%;1;698418;62%
Sorocaba;SP;3552205;03/05/2020;>50-60%;1;679378;56%
Mauá;SP;3529401;03/05/2020;>60-70%;1;472912;64%
São José do Rio Preto;SP;3549805;03/05/2020;>50-60%;1;460671;53%
Mogi das Cruzes;SP;3530607;03/05/2020;>60-70%;1;445842;62%
Santos;SP;3548500;03/05/2020;>50-60%;1;433311;59%
Diadema;SP;3513801;03/05/2020;>60-70%;1;423884;64%
Jundiaí;SP;3525904;03/05/2020;>50-60%;1;418962;57%
Piracicaba;SP;3538709;03/05/2020;>50-60%;1;404142;56%
Carapicuíba;SP;3510609;03/05/2020;>60-70%;1;400927;63%
Americana;SP;3501608;03/05/2020;>50-60%;1;239597;56%
Amparo;SP;3501905;03/05/2020;>60-70%;1;72195;62%
Araçatuba;SP;3502804;03/05/2020;>50-60%;1;197016;51%
Araraquara;SP;3503208;03/05/2020;>50-60%;1;236072;53%
Araras;SP;3503307;03/05/2020;>50-60%;1;134236;58%
Arujá;SP;3503901;03/05/2020;>60-70%;1;89824;66%
Assis;SP;3504008;03/05/2020;>50-60%;1;104386;57%
Atibaia;SP;3504107;03/05/2020;>50-60%;1;142761;60%
Avaré;SP;3504503;03/05/2020;>60-70%;1;90655;61%
Barretos;SP;3505500;03/05/2020;>50-60%;1;122098;56%
Barueri;SP;3505708;03/05/2020;>50-60%;1;274182;56%
Bauru;SP;3506003;03/05/2020;>50-60%;1;376818;53%
Bebedouro;SP;3506102;03/05/2020;>60-70%;1;77496;68%
Birigui;SP;3506508;03/05/2020;>50-60%;1;123638;57%
Botucatu;SP;3507506;03/05/2020;>50-60%;1;146497;60%
Bragança Paulista;SP;3507605;03/05/2020;>50-60%;1;168668;58%
Caçapava;SP;3508504;03/05/2020;>60-70%;1;94263;65%
Caieiras;SP;3509007;03/05/2020;>60-70%;1;101470;67%
Cajamar;SP;3509205;03/05/2020;>60-70%;1;76801;70%
Campo Limpo Paulista;SP;3509601;03/05/2020;>60-70%;1;84650;63%
Caraguatatuba;SP;3510500;03/05/2020;>60-70%;1;121532;65%
Catanduva;SP;3511102;03/05/2020;>50-60%;1;121862;51%
Cotia;SP;3513009;03/05/2020;>60-70%;1;249210;63%
Cruzeiro;SP;3513405;03/05/2020;>60-70%;1;82238;67%
Cubatão;SP;3513504;03/05/2020;>60-70%;1;130705;65%
Embu das Artes;SP;3515004;03/05/2020;>60-70%;1;273726;63%
Ferraz de Vasconcelos;SP;3515707;03/05/2020;>60-70%;1;194276;61%
Franca;SP;3516200;03/05/2020;>60-70%;1;353187;61%
Francisco Morato;SP;3516309;03/05/2020;>50-60%;1;175844;57%
Franco da Rocha;SP;3516408;03/05/2020;>60-70%;1;154489;62%
Guaratinguetá;SP;3518404;03/05/2020;>60-70%;1;121798;62%
Guarujá;SP;3518701;03/05/2020;>60-70%;1;320459;61%
Hortolândia;SP;3519071;03/05/2020;>60-70%;1;230851;60%
Ibiúna;SP;3519709;03/05/2020;>60-70%;1;78878;67%
Indaiatuba;SP;3520509;03/05/2020;>50-60%;1;251627;59%
Itanhaém;SP;3522109;03/05/2020;>60-70%;1;101816;64%
Itapecerica da Serra;SP;3522208;03/05/2020;>60-70%;1;175693;66%
Itapetininga;SP;3522307;03/05/2020;>50-60%;1;163901;59%
Itapeva;SP;3522406;03/05/2020;>50-60%;1;94354;56%
Itapevi;SP;3522505;03/05/2020;>60-70%;1;237700;63%
Itapira;SP;3522604;03/05/2020;>60-70%;1;74773;60%
Itaquaquecetuba;SP;3523107;03/05/2020;>60-70%;1;370821;63%
