Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;02/05/2020;>50-60%;1;12252023;52%
Guarulhos;SP;3518800;02/05/2020;>50-60%;1;1379182;56%
Campinas;SP;3509502;02/05/2020;>50-60%;1;1204073;51%
São Bernardo do Campo;SP;3548708;02/05/2020;>50-60%;1;838936;53%
São José dos Campos;SP;3549904;02/05/2020;>50-60%;1;721944;55%
Santo André;SP;3547809;02/05/2020;>50-60%;1;718773;53%
Ribeirão Preto;SP;3543402;02/05/2020;>40-50%;1;703293;47%
Osasco;SP;3534401;02/05/2020;>50-60%;1;698418;54%
Sorocaba;SP;3552205;02/05/2020;>50-60%;1;679378;50%
Mauá;SP;3529401;02/05/2020;>50-60%;1;472912;57%
São José do Rio Preto;SP;3549805;02/05/2020;>40-50%;1;460671;46%
Mogi das Cruzes;SP;3530607;02/05/2020;>50-60%;1;445842;55%
Santos;SP;3548500;02/05/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;02/05/2020;>50-60%;1;423884;57%
Jundiaí;SP;3525904;02/05/2020;>40-50%;1;418962;50%
Piracicaba;SP;3538709;02/05/2020;>40-50%;1;404142;49%
Carapicuíba;SP;3510609;02/05/2020;>50-60%;1;400927;56%
Americana;SP;3501608;02/05/2020;>40-50%;1;239597;50%
Amparo;SP;3501905;02/05/2020;>50-60%;1;72195;56%
Araçatuba;SP;3502804;02/05/2020;>40-50%;1;197016;44%
Araraquara;SP;3503208;02/05/2020;>40-50%;1;236072;46%
Araras;SP;3503307;02/05/2020;>50-60%;1;134236;51%
Arujá;SP;3503901;02/05/2020;>50-60%;1;89824;57%
Assis;SP;3504008;02/05/2020;>40-50%;1;104386;49%
Atibaia;SP;3504107;02/05/2020;>50-60%;1;142761;52%
Avaré;SP;3504503;02/05/2020;>50-60%;1;90655;54%
Barretos;SP;3505500;02/05/2020;>50-60%;1;122098;53%
Barueri;SP;3505708;02/05/2020;>40-50%;1;274182;49%
Bauru;SP;3506003;02/05/2020;>40-50%;1;376818;46%
Bebedouro;SP;3506102;02/05/2020;>60-70%;1;77496;60%
Birigui;SP;3506508;02/05/2020;>50-60%;1;123638;51%
Botucatu;SP;3507506;02/05/2020;>50-60%;1;146497;54%
Bragança Paulista;SP;3507605;02/05/2020;>50-60%;1;168668;51%
Caçapava;SP;3508504;02/05/2020;>50-60%;1;94263;59%
Caieiras;SP;3509007;02/05/2020;>50-60%;1;101470;59%
Cajamar;SP;3509205;02/05/2020;>60-70%;1;76801;61%
Campo Limpo Paulista;SP;3509601;02/05/2020;>50-60%;1;84650;57%
Caraguatatuba;SP;3510500;02/05/2020;>60-70%;1;121532;62%
Catanduva;SP;3511102;02/05/2020;>40-50%;1;121862;44%
Cotia;SP;3513009;02/05/2020;>50-60%;1;249210;56%
Cruzeiro;SP;3513405;02/05/2020;>60-70%;1;82238;64%
Cubatão;SP;3513504;02/05/2020;>50-60%;1;130705;55%
Embu das Artes;SP;3515004;02/05/2020;>50-60%;1;273726;55%
Ferraz de Vasconcelos;SP;3515707;02/05/2020;>50-60%;1;194276;54%
Franca;SP;3516200;02/05/2020;>50-60%;1;353187;54%
Francisco Morato;SP;3516309;02/05/2020;>50-60%;1;175844;51%
Franco da Rocha;SP;3516408;02/05/2020;>50-60%;1;154489;55%
Guaratinguetá;SP;3518404;02/05/2020;>50-60%;1;121798;57%
Guarujá;SP;3518701;02/05/2020;>50-60%;1;320459;57%
Hortolândia;SP;3519071;02/05/2020;>50-60%;1;230851;55%
Ibiúna;SP;3519709;02/05/2020;>60-70%;1;78878;60%
Indaiatuba;SP;3520509;02/05/2020;>50-60%;1;251627;54%
Itanhaém;SP;3522109;02/05/2020;>60-70%;1;101816;62%
Itapecerica da Serra;SP;3522208;02/05/2020;>50-60%;1;175693;59%
Itapetininga;SP;3522307;02/05/2020;>50-60%;1;163901;53%
Itapeva;SP;3522406;02/05/2020;>40-50%;1;94354;49%
Itapevi;SP;3522505;02/05/2020;>50-60%;1;237700;56%
Itapira;SP;3522604;02/05/2020;>50-60%;1;74773;54%
Itaquaquecetuba;SP;3523107;02/05/2020;>50-60%;1;370821;60%
Itatiba;SP;3523404;02/05/2020;>40-50%;1;120858;49%
Itu;SP;3523909;02/05/2020;>50-60%;1;173939;51%
Jaboticabal;SP;3524303;02/05/2020;>50-60%;1;77263;51%
Jacareí;SP;3524402;02/05/2020;>50-60%;1;233662;56%
Jandira;SP;3525003;02/05/2020;>50-60%;1;124937;54%
Jaú;SP;3525300;02/05/2020;>50-60%;1;150252;53%
Leme;SP;3526704;02/05/2020;>50-60%;1;103391;54%
Limeira;SP;3526902;02/05/2020;>40-50%;1;306114;45%
Lins;SP;3527108;02/05/2020;>50-60%;1;78013;52%
Lorena;SP;3527207;02/05/2020;>60-70%;1;88706;64%
Mairiporã;SP;3528502;02/05/2020;>60-70%;1;100179;60%
Marília;SP;3529005;02/05/2020;>40-50%;1;238882;48%
Matão;SP;3529302;02/05/2020;>40-50%;1;83170;47%
Mogi Guaçu;SP;3530706;02/05/2020;>50-60%;1;151888;50%
Mogi Mirim;SP;3530805;02/05/2020;>50-60%;1;93189;52%
Ourinhos;SP;3534708;02/05/2020;>50-60%;1;113542;58%
Paulínia;SP;3536505;02/05/2020;>50-60%;1;109424;52%
Pindamonhangaba;SP;3538006;02/05/2020;>60-70%;1;168328;61%
Pirassununga;SP;3539301;02/05/2020;>50-60%;1;76409;59%
Poá;SP;3539806;02/05/2020;>50-60%;1;117452;59%
Praia Grande;SP;3541000;02/05/2020;>50-60%;1;325073;55%
Presidente Prudente;SP;3541406;02/05/2020;>40-50%;1;228743;44%
