Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;04/05/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;04/05/2020;>40-50%;1;1379182;49%
Campinas;SP;3509502;04/05/2020;>40-50%;1;1204073;45%
São Bernardo do Campo;SP;3548708;04/05/2020;>40-50%;1;838936;48%
São José dos Campos;SP;3549904;04/05/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;04/05/2020;>40-50%;1;718773;49%
Ribeirão Preto;SP;3543402;04/05/2020;Até 40%;1;703293;40%
Osasco;SP;3534401;04/05/2020;>50-60%;1;698418;50%
Sorocaba;SP;3552205;04/05/2020;>40-50%;1;679378;43%
Mauá;SP;3529401;04/05/2020;>50-60%;1;472912;51%
São José do Rio Preto;SP;3549805;04/05/2020;>40-50%;1;460671;40%
Mogi das Cruzes;SP;3530607;04/05/2020;>50-60%;1;445842;50%
Santos;SP;3548500;04/05/2020;>40-50%;1;433311;47%
Diadema;SP;3513801;04/05/2020;>50-60%;1;423884;51%
Jundiaí;SP;3525904;04/05/2020;>40-50%;1;418962;45%
Piracicaba;SP;3538709;04/05/2020;>40-50%;1;404142;45%
Carapicuíba;SP;3510609;04/05/2020;>50-60%;1;400927;51%
Americana;SP;3501608;04/05/2020;>40-50%;1;239597;45%
Amparo;SP;3501905;04/05/2020;>50-60%;1;72195;50%
Araçatuba;SP;3502804;04/05/2020;Até 40%;1;197016;40%
Araraquara;SP;3503208;04/05/2020;>40-50%;1;236072;41%
Araras;SP;3503307;04/05/2020;>40-50%;1;134236;47%
Arujá;SP;3503901;04/05/2020;>50-60%;1;89824;50%
Assis;SP;3504008;04/05/2020;>40-50%;1;104386;45%
Atibaia;SP;3504107;04/05/2020;>40-50%;1;142761;46%
Avaré;SP;3504503;04/05/2020;>40-50%;1;90655;48%
Barretos;SP;3505500;04/05/2020;>40-50%;1;122098;45%
Barueri;SP;3505708;04/05/2020;>40-50%;1;274182;44%
Bauru;SP;3506003;04/05/2020;>40-50%;1;376818;41%
Bebedouro;SP;3506102;04/05/2020;>50-60%;1;77496;55%
Birigui;SP;3506508;04/05/2020;>40-50%;1;123638;47%
Botucatu;SP;3507506;04/05/2020;>40-50%;1;146497;49%
Bragança Paulista;SP;3507605;04/05/2020;>40-50%;1;168668;46%
Caçapava;SP;3508504;04/05/2020;>50-60%;1;94263;55%
Caieiras;SP;3509007;04/05/2020;>50-60%;1;101470;53%
Cajamar;SP;3509205;04/05/2020;>50-60%;1;76801;56%
Campo Limpo Paulista;SP;3509601;04/05/2020;>50-60%;1;84650;52%
Caraguatatuba;SP;3510500;04/05/2020;>50-60%;1;121532;55%
Catanduva;SP;3511102;04/05/2020;Até 40%;1;121862;39%
Cotia;SP;3513009;04/05/2020;>50-60%;1;249210;51%
Cruzeiro;SP;3513405;04/05/2020;>50-60%;1;82238;57%
Cubatão;SP;3513504;04/05/2020;>50-60%;1;130705;50%
Embu das Artes;SP;3515004;04/05/2020;>40-50%;1;273726;49%
Ferraz de Vasconcelos;SP;3515707;04/05/2020;>40-50%;1;194276;49%
Franca;SP;3516200;04/05/2020;>40-50%;1;353187;45%
Francisco Morato;SP;3516309;04/05/2020;>40-50%;1;175844;48%
Franco da Rocha;SP;3516408;04/05/2020;>50-60%;1;154489;51%
Guaratinguetá;SP;3518404;04/05/2020;>50-60%;1;121798;51%
Guarujá;SP;3518701;04/05/2020;>50-60%;1;320459;52%
Hortolândia;SP;3519071;04/05/2020;>40-50%;1;230851;48%
Ibiúna;SP;3519709;04/05/2020;>50-60%;1;78878;54%
Indaiatuba;SP;3520509;04/05/2020;>40-50%;1;251627;49%
Itanhaém;SP;3522109;04/05/2020;>50-60%;1;101816;56%
Itapecerica da Serra;SP;3522208;04/05/2020;>50-60%;1;175693;54%
Itapetininga;SP;3522307;04/05/2020;>40-50%;1;163901;49%
Itapeva;SP;3522406;04/05/2020;>40-50%;1;94354;45%
Itapevi;SP;3522505;04/05/2020;>50-60%;1;237700;50%
Itapira;SP;3522604;04/05/2020;>40-50%;1;74773;49%
Itaquaquecetuba;SP;3523107;04/05/2020;>50-60%;1;370821;53%
Itatiba;SP;3523404;04/05/2020;>40-50%;1;120858;44%
Itu;SP;3523909;04/05/2020;>40-50%;1;173939;46%
Jaboticabal;SP;3524303;04/05/2020;>40-50%;1;77263;47%
Jacareí;SP;3524402;04/05/2020;>40-50%;1;233662;50%
Jandira;SP;3525003;04/05/2020;>40-50%;1;124937;49%
Jaú;SP;3525300;04/05/2020;>40-50%;1;150252;48%
Leme;SP;3526704;04/05/2020;>40-50%;1;103391;49%
Limeira;SP;3526902;04/05/2020;Até 40%;1;306114;38%
Lins;SP;3527108;04/05/2020;>40-50%;1;78013;46%
Lorena;SP;3527207;04/05/2020;>60-70%;1;88706;60%
Mairiporã;SP;3528502;04/05/2020;>50-60%;1;100179;53%
Marília;SP;3529005;04/05/2020;>40-50%;1;238882;44%
Matão;SP;3529302;04/05/2020;>40-50%;1;83170;43%
Mogi Guaçu;SP;3530706;04/05/2020;>40-50%;1;151888;46%
Mogi Mirim;SP;3530805;04/05/2020;>40-50%;1;93189;48%
Ourinhos;SP;3534708;04/05/2020;>50-60%;1;113542;50%
Paulínia;SP;3536505;04/05/2020;>40-50%;1;109424;47%
Pindamonhangaba;SP;3538006;04/05/2020;>50-60%;1;168328;54%
Pirassununga;SP;3539301;04/05/2020;>50-60%;1;76409;53%
Poá;SP;3539806;04/05/2020;>50-60%;1;117452;53%
Praia Grande;SP;3541000;04/05/2020;>40-50%;1;325073;50%
Presidente Prudente;SP;3541406;04/05/2020;>40-50%;1;228743;40%
Ribeirão Pires;SP;3543303;04/05/2020;>50-60%;1;123393;57%
Rio Claro;SP;3543907;04/05/2020;>40-50%;1;206424;49%
Salto;SP;3545209;04/05/2020;>40-50%;1;118663;48%
Santa Bárbara d'Oeste;SP;3545803;04/05/2020;>40-50%;1;193475;42%
Santana de Parnaíba;SP;3547304;04/05/2020;>50-60%;1;139447;51%
São Caetano do Sul;SP;3548807;04/05/2020;>40-50%;1;161127;47%
São Carlos;SP;3548906;04/05/2020;>40-50%;1;251983;48%
São João da Boa Vista;SP;3549102;04/05/2020;>40-50%;1;91211;49%
São Roque;SP;3550605;04/05/2020;>50-60%;1;91016;51%
São Sebastião;SP;3550704;04/05/2020;>60-70%;1;88980;62%
São Vicente;SP;3551009;04/05/2020;>50-60%;1;365798;55%
Sertãozinho;SP;3551702;04/05/2020;>40-50%;1;125815;49%
Sumaré;SP;3552403;04/05/2020;>40-50%;1;282441;42%
Suzano;SP;3552502;04/05/2020;>50-60%;1;297637;51%
Taboão da Serra;SP;3552809;04/05/2020;>40-50%;1;289664;48%
Tatuí;SP;3554003;04/05/2020;>40-50%;1;121766;48%
Taubaté;SP;3554102;04/05/2020;>40-50%;1;314924;47%
Ubatuba;SP;3555406;04/05/2020;>60-70%;1;90799;60%
Valinhos;SP;3556206;04/05/2020;>40-50%;1;129193;48%
Várzea Paulista;SP;3556503;04/05/2020;>40-50%;1;121838;46%
Vinhedo;SP;3556701;04/05/2020;>50-60%;1;78728;51%
Votorantim;SP;3557006;04/05/2020;>40-50%;1;122480;48%
Votuporanga;SP;3557105;04/05/2020;>50-60%;1;94547;53%
