Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;19/04/2020;>50-60%;1;12252023;58%
Guarulhos;SP;3518800;19/04/2020;>60-70%;1;1379182;63%
Campinas;SP;3509502;19/04/2020;>50-60%;1;1204073;58%
São Bernardo do Campo;SP;3548708;19/04/2020;>50-60%;1;838936;60%
São José dos Campos;SP;3549904;19/04/2020;>60-70%;1;721944;61%
Santo André;SP;3547809;19/04/2020;>50-60%;1;718773;60%
Ribeirão Preto;SP;3543402;19/04/2020;>50-60%;1;703293;55%
Osasco;SP;3534401;19/04/2020;>60-70%;1;698418;62%
Sorocaba;SP;3552205;19/04/2020;>50-60%;1;679378;57%
Mauá;SP;3529401;19/04/2020;>60-70%;1;472912;62%
São José do Rio Preto;SP;3549805;19/04/2020;>50-60%;1;460671;55%
Mogi das Cruzes;SP;3530607;19/04/2020;>60-70%;1;445842;63%
Santos;SP;3548500;19/04/2020;>50-60%;1;433311;59%
Diadema;SP;3513801;19/04/2020;>60-70%;1;423884;64%
Jundiaí;SP;3525904;19/04/2020;>50-60%;1;418962;58%
Piracicaba;SP;3538709;19/04/2020;>50-60%;1;404142;57%
Carapicuíba;SP;3510609;19/04/2020;>60-70%;1;400927;64%
Estado de São Paulo;;;19/04/2020;>50-60%;1;;59%
Americana;SP;3501608;19/04/2020;>50-60%;1;239597;58%
Amparo;SP;3501905;19/04/2020;>60-70%;1;72195;63%
Araçatuba;SP;3502804;19/04/2020;>50-60%;1;197016;53%
Araraquara;SP;3503208;19/04/2020;>50-60%;1;236072;54%
Araras;SP;3503307;19/04/2020;>60-70%;1;134236;60%
Arujá;SP;3503901;19/04/2020;>60-70%;1;89824;65%
Assis;SP;3504008;19/04/2020;>50-60%;1;104386;57%
Atibaia;SP;3504107;19/04/2020;>60-70%;1;142761;60%
Avaré;SP;3504503;19/04/2020;>60-70%;1;90655;62%
Barretos;SP;3505500;19/04/2020;>50-60%;1;122098;59%
Barueri;SP;3505708;19/04/2020;>50-60%;1;274182;55%
Bauru;SP;3506003;19/04/2020;>50-60%;1;376818;55%
Bebedouro;SP;3506102;19/04/2020;>70%;1;77496;71%
Birigui;SP;3506508;19/04/2020;>50-60%;1;123638;55%
Botucatu;SP;3507506;19/04/2020;>60-70%;1;146497;61%
Bragança Paulista;SP;3507605;19/04/2020;>50-60%;1;168668;58%
Caçapava;SP;3508504;19/04/2020;>60-70%;1;94263;66%
Caieiras;SP;3509007;19/04/2020;>60-70%;1;101470;68%
Cajamar;SP;3509205;19/04/2020;>60-70%;1;76801;69%
Campo Limpo Paulista;SP;3509601;19/04/2020;>60-70%;1;84650;65%
Caraguatatuba;SP;3510500;19/04/2020;>60-70%;1;121532;67%
Catanduva;SP;3511102;19/04/2020;>50-60%;1;121862;52%
Cotia;SP;3513009;19/04/2020;>60-70%;1;249210;63%
Cruzeiro;SP;3513405;19/04/2020;>60-70%;1;82238;69%
Cubatão;SP;3513504;19/04/2020;>60-70%;1;130705;64%
Embu das Artes;SP;3515004;19/04/2020;>60-70%;1;273726;63%
Ferraz de Vasconcelos;SP;3515707;19/04/2020;>60-70%;1;194276;62%
Franca;SP;3516200;19/04/2020;>60-70%;1;353187;61%
Francisco Morato;SP;3516309;19/04/2020;>50-60%;1;175844;60%
Franco da Rocha;SP;3516408;19/04/2020;>60-70%;1;154489;62%
Guaratinguetá;SP;3518404;19/04/2020;>60-70%;1;121798;64%
Guarujá;SP;3518701;19/04/2020;>60-70%;1;320459;63%
Hortolândia;SP;3519071;19/04/2020;>60-70%;1;230851;62%
Ibiúna;SP;3519709;19/04/2020;>70%;1;78878;74%
Indaiatuba;SP;3520509;19/04/2020;>60-70%;1;251627;60%
Itanhaém;SP;3522109;19/04/2020;>60-70%;1;101816;66%
Itapecerica da Serra;SP;3522208;19/04/2020;>60-70%;1;175693;66%
Itapetininga;SP;3522307;19/04/2020;>50-60%;1;163901;59%
Itapeva;SP;3522406;19/04/2020;>50-60%;1;94354;57%
Itapevi;SP;3522505;19/04/2020;>60-70%;1;237700;62%
Itapira;SP;3522604;19/04/2020;>60-70%;1;74773;63%
Itaquaquecetuba;SP;3523107;19/04/2020;>60-70%;1;370821;66%
Itatiba;SP;3523404;19/04/2020;>50-60%;1;120858;56%
Itu;SP;3523909;19/04/2020;>50-60%;1;173939;59%
Jaboticabal;SP;3524303;19/04/2020;>50-60%;1;77263;57%
Jacareí;SP;3524402;19/04/2020;>60-70%;1;233662;63%
Jandira;SP;3525003;19/04/2020;>60-70%;1;124937;60%
Jaú;SP;3525300;19/04/2020;>50-60%;1;150252;60%
Leme;SP;3526704;19/04/2020;>60-70%;1;103391;62%
Limeira;SP;3526902;19/04/2020;>50-60%;1;306114;53%
Lins;SP;3527108;19/04/2020;>50-60%;1;78013;54%
Lorena;SP;3527207;19/04/2020;>60-70%;1;88706;70%
Mairiporã;SP;3528502;19/04/2020;>60-70%;1;100179;68%
Marília;SP;3529005;19/04/2020;>50-60%;1;238882;55%
Matão;SP;3529302;19/04/2020;>50-60%;1;83170;54%
Mogi Guaçu;SP;3530706;19/04/2020;>50-60%;1;151888;58%
Mogi Mirim;SP;3530805;19/04/2020;>60-70%;1;93189;61%
Ourinhos;SP;3534708;19/04/2020;>60-70%;1;113542;61%
Paulínia;SP;3536505;19/04/2020;>60-70%;1;109424;62%
Pindamonhangaba;SP;3538006;19/04/2020;>60-70%;1;168328;66%
Pirassununga;SP;3539301;19/04/2020;>60-70%;1;76409;65%
Poá;SP;3539806;19/04/2020;>60-70%;1;117452;67%
Praia Grande;SP;3541000;19/04/2020;>60-70%;1;325073;61%
Presidente Prudente;SP;3541406;19/04/2020;>50-60%;1;228743;54%
Ribeirão Pires;SP;3543303;19/04/2020;>60-70%;1;123393;69%
Rio Claro;SP;3543907;19/04/2020;>60-70%;1;206424;62%
Salto;SP;3545209;19/04/2020;>50-60%;1;118663;60%
Santa Bárbara d'Oeste;SP;3545803;19/04/2020;>50-60%;1;193475;57%
Santana de Parnaíba;SP;3547304;19/04/2020;>60-70%;1;139447;62%
São Caetano do Sul;SP;3548807;19/04/2020;>50-60%;1;161127;58%
São Carlos;SP;3548906;19/04/2020;>60-70%;1;251983;61%
São João da Boa Vista;SP;3549102;19/04/2020;>60-70%;1;91211;65%
São Roque;SP;3550605;19/04/2020;>60-70%;1;91016;63%
São Sebastião;SP;3550704;19/04/2020;>70%;1;88980;73%
São Vicente;SP;3551009;19/04/2020;>60-70%;1;365798;68%
Sertãozinho;SP;3551702;19/04/2020;>60-70%;1;125815;67%
Sumaré;SP;3552403;19/04/2020;>50-60%;1;282441;58%
Suzano;SP;3552502;19/04/2020;>60-70%;1;297637;64%
Taboão da Serra;SP;3552809;19/04/2020;>50-60%;1;289664;59%
Tatuí;SP;3554003;19/04/2020;>60-70%;1;121766;61%
Taubaté;SP;3554102;19/04/2020;>50-60%;1;314924;59%
Ubatuba;SP;3555406;19/04/2020;>70%;1;90799;72%
Valinhos;SP;3556206;19/04/2020;>50-60%;1;129193;60%
Várzea Paulista;SP;3556503;19/04/2020;>50-60%;1;121838;59%
Vinhedo;SP;3556701;19/04/2020;>60-70%;1;78728;63%
Votorantim;SP;3557006;19/04/2020;>50-60%;1;122480;60%
Votuporanga;SP;3557105;19/04/2020;>60-70%;1;94547;65%
