Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;06/04/2020;>50-60%;1;12252023;54%
Guarulhos;SP;3518800;06/04/2020;>50-60%;1;1379182;52%
Campinas;SP;3509502;06/04/2020;>50-60%;1;1204073;51%
São Bernardo do Campo;SP;3548708;06/04/2020;>50-60%;1;838936;52%
São José dos Campos;SP;3549904;06/04/2020;>50-60%;1;721944;52%
Santo André;SP;3547809;06/04/2020;>50-60%;1;718773;53%
Ribeirão Preto;SP;3543402;06/04/2020;>40-50%;1;703293;48%
Osasco;SP;3534401;06/04/2020;>50-60%;1;698418;53%
Sorocaba;SP;3552205;06/04/2020;>40-50%;1;679378;49%
Mauá;SP;3529401;06/04/2020;>50-60%;1;472912;53%
São José do Rio Preto;SP;3549805;06/04/2020;>40-50%;1;460671;46%
Mogi das Cruzes;SP;3530607;06/04/2020;>50-60%;1;445842;54%
Santos;SP;3548500;06/04/2020;>50-60%;1;433311;52%
Diadema;SP;3513801;06/04/2020;>50-60%;1;423884;54%
Jundiaí;SP;3525904;06/04/2020;>40-50%;1;418962;48%
Piracicaba;SP;3538709;06/04/2020;>40-50%;1;404142;49%
Carapicuíba;SP;3510609;06/04/2020;>50-60%;1;400927;53%
Bauru;SP;3506003;06/04/2020;>40-50%;1;376818;47%
Estado de São Paulo;;;06/04/2020;>50-60%;1;;52%
Americana;SP;3501608;06/04/2020;>50-60%;1;239597;50%
Amparo;SP;3501905;06/04/2020;>50-60%;1;72195;54%
Araçatuba;SP;3502804;06/04/2020;>40-50%;1;197016;45%
Araraquara;SP;3503208;06/04/2020;>40-50%;1;236072;47%
Araras;SP;3503307;06/04/2020;>50-60%;1;134236;50%
Arujá;SP;3503901;06/04/2020;>50-60%;1;89824;51%
Assis;SP;3504008;06/04/2020;>50-60%;1;104386;51%
Atibaia;SP;3504107;06/04/2020;>50-60%;1;142761;54%
Avaré;SP;3504503;06/04/2020;>50-60%;1;90655;52%
Barretos;SP;3505500;06/04/2020;>50-60%;1;122098;51%
Barueri;SP;3505708;06/04/2020;>40-50%;1;274182;47%
Bebedouro;SP;3506102;06/04/2020;>50-60%;1;77496;60%
Birigui;SP;3506508;06/04/2020;>50-60%;1;123638;53%
Botucatu;SP;3507506;06/04/2020;>50-60%;1;146497;51%
Bragança Paulista;SP;3507605;06/04/2020;>40-50%;1;168668;49%
Caçapava;SP;3508504;06/04/2020;>60-70%;1;94263;60%
Caieiras;SP;3509007;06/04/2020;>50-60%;1;101470;52%
Cajamar;SP;3509205;06/04/2020;>50-60%;1;76801;57%
Campo Limpo Paulista;SP;3509601;06/04/2020;>50-60%;1;84650;53%
Caraguatatuba;SP;3510500;06/04/2020;>50-60%;1;121532;60%
Catanduva;SP;3511102;06/04/2020;>40-50%;1;121862;45%
Cotia;SP;3513009;06/04/2020;>50-60%;1;249210;55%
Cruzeiro;SP;3513405;06/04/2020;>60-70%;1;82238;64%
Cubatão;SP;3513504;06/04/2020;>40-50%;1;130705;47%
Embu das Artes;SP;3515004;06/04/2020;>50-60%;1;273726;53%
Ferraz de Vasconcelos;SP;3515707;06/04/2020;>50-60%;1;194276;51%
Franca;SP;3516200;06/04/2020;>40-50%;1;353187;47%
Francisco Morato;SP;3516309;06/04/2020;>50-60%;1;175844;50%
Franco da Rocha;SP;3516408;06/04/2020;>50-60%;1;154489;52%
Guaratinguetá;SP;3518404;06/04/2020;>50-60%;1;121798;55%
Guarujá;SP;3518701;06/04/2020;>50-60%;1;320459;54%
Hortolândia;SP;3519071;06/04/2020;>50-60%;1;230851;51%
Ibiúna;SP;3519709;06/04/2020;>50-60%;1;78878;59%
Indaiatuba;SP;3520509;06/04/2020;>50-60%;1;251627;53%
Itanhaém;SP;3522109;06/04/2020;>50-60%;1;101816;59%
Itapecerica da Serra;SP;3522208;06/04/2020;>50-60%;1;175693;58%
Itapetininga;SP;3522307;06/04/2020;>50-60%;1;163901;53%
Itapeva;SP;3522406;06/04/2020;>50-60%;1;94354;51%
Itapevi;SP;3522505;06/04/2020;>40-50%;1;237700;50%
Itapira;SP;3522604;06/04/2020;>50-60%;1;74773;55%
Itaquaquecetuba;SP;3523107;06/04/2020;>50-60%;1;370821;54%
Itatiba;SP;3523404;06/04/2020;>40-50%;1;120858;49%
Itu;SP;3523909;06/04/2020;>50-60%;1;173939;50%
Jaboticabal;SP;3524303;06/04/2020;>50-60%;1;77263;52%
Jacareí;SP;3524402;06/04/2020;>50-60%;1;233662;51%
Jandira;SP;3525003;06/04/2020;>50-60%;1;124937;52%
Jaú;SP;3525300;06/04/2020;>50-60%;1;150252;51%
Leme;SP;3526704;06/04/2020;>50-60%;1;103391;56%
Limeira;SP;3526902;06/04/2020;>40-50%;1;306114;43%
Lins;SP;3527108;06/04/2020;>40-50%;1;78013;49%
Lorena;SP;3527207;06/04/2020;>60-70%;1;88706;63%
Mairiporã;SP;3528502;06/04/2020;>50-60%;1;100179;58%
Marília;SP;3529005;06/04/2020;>40-50%;1;238882;47%
