Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;05/04/2020;>50-60%;1;12252023;59%
Guarulhos;SP;3518800;05/04/2020;>60-70%;1;1379182;61%
Campinas;SP;3509502;05/04/2020;>50-60%;1;1204073;59%
São Bernardo do Campo;SP;3548708;05/04/2020;>50-60%;1;838936;59%
São José dos Campos;SP;3549904;05/04/2020;>50-60%;1;721944;60%
Santo André;SP;3547809;05/04/2020;>50-60%;1;718773;59%
Ribeirão Preto;SP;3543402;05/04/2020;>50-60%;1;703293;56%
Osasco;SP;3534401;05/04/2020;>60-70%;1;698418;61%
Sorocaba;SP;3552205;05/04/2020;>50-60%;1;679378;56%
Mauá;SP;3529401;05/04/2020;>60-70%;1;472912;60%
São José do Rio Preto;SP;3549805;05/04/2020;>50-60%;1;460671;55%
Mogi das Cruzes;SP;3530607;05/04/2020;>60-70%;1;445842;61%
Santos;SP;3548500;05/04/2020;>50-60%;1;433311;59%
Diadema;SP;3513801;05/04/2020;>60-70%;1;423884;62%
Jundiaí;SP;3525904;05/04/2020;>50-60%;1;418962;56%
Piracicaba;SP;3538709;05/04/2020;>50-60%;1;404142;56%
Carapicuíba;SP;3510609;05/04/2020;>60-70%;1;400927;61%
Bauru;SP;3506003;05/04/2020;>50-60%;1;376818;53%
Estado de São Paulo;;;05/04/2020;>50-60%;1;;59%
Americana;SP;3501608;05/04/2020;>50-60%;1;239597;58%
Amparo;SP;3501905;05/04/2020;>60-70%;1;72195;61%
Araçatuba;SP;3502804;05/04/2020;>50-60%;1;197016;52%
Araraquara;SP;3503208;05/04/2020;>50-60%;1;236072;53%
Araras;SP;3503307;05/04/2020;>50-60%;1;134236;58%
Arujá;SP;3503901;05/04/2020;>60-70%;1;89824;62%
Assis;SP;3504008;05/04/2020;>50-60%;1;104386;56%
Atibaia;SP;3504107;05/04/2020;>60-70%;1;142761;61%
Avaré;SP;3504503;05/04/2020;>50-60%;1;90655;58%
Barretos;SP;3505500;05/04/2020;>50-60%;1;122098;58%
Barueri;SP;3505708;05/04/2020;>50-60%;1;274182;55%
Bebedouro;SP;3506102;05/04/2020;>60-70%;1;77496;69%
Birigui;SP;3506508;05/04/2020;>50-60%;1;123638;55%
Botucatu;SP;3507506;05/04/2020;>50-60%;1;146497;58%
Bragança Paulista;SP;3507605;05/04/2020;>50-60%;1;168668;55%
Caçapava;SP;3508504;05/04/2020;>60-70%;1;94263;65%
Caieiras;SP;3509007;05/04/2020;>60-70%;1;101470;62%
Cajamar;SP;3509205;05/04/2020;>60-70%;1;76801;66%
Campo Limpo Paulista;SP;3509601;05/04/2020;>60-70%;1;84650;61%
Caraguatatuba;SP;3510500;05/04/2020;>60-70%;1;121532;65%
Catanduva;SP;3511102;05/04/2020;>50-60%;1;121862;51%
Cotia;SP;3513009;05/04/2020;>60-70%;1;249210;62%
Cruzeiro;SP;3513405;05/04/2020;>60-70%;1;82238;67%
Cubatão;SP;3513504;05/04/2020;>50-60%;1;130705;57%
Embu das Artes;SP;3515004;05/04/2020;>60-70%;1;273726;61%
Ferraz de Vasconcelos;SP;3515707;05/04/2020;>50-60%;1;194276;59%
Franca;SP;3516200;05/04/2020;>50-60%;1;353187;58%
Francisco Morato;SP;3516309;05/04/2020;>50-60%;1;175844;58%
Franco da Rocha;SP;3516408;05/04/2020;>50-60%;1;154489;59%
Guaratinguetá;SP;3518404;05/04/2020;>60-70%;1;121798;61%
Guarujá;SP;3518701;05/04/2020;>50-60%;1;320459;59%
Hortolândia;SP;3519071;05/04/2020;>60-70%;1;230851;61%
Ibiúna;SP;3519709;05/04/2020;>60-70%;1;78878;66%
Indaiatuba;SP;3520509;05/04/2020;>60-70%;1;251627;61%
Itanhaém;SP;3522109;05/04/2020;>60-70%;1;101816;63%
Itapecerica da Serra;SP;3522208;05/04/2020;>60-70%;1;175693;65%
Itapetininga;SP;3522307;05/04/2020;>50-60%;1;163901;57%
Itapeva;SP;3522406;05/04/2020;>50-60%;1;94354;54%
Itapevi;SP;3522505;05/04/2020;>50-60%;1;237700;59%
Itapira;SP;3522604;05/04/2020;>60-70%;1;74773;61%
Itaquaquecetuba;SP;3523107;05/04/2020;>60-70%;1;370821;63%
Itatiba;SP;3523404;05/04/2020;>50-60%;1;120858;57%
Itu;SP;3523909;05/04/2020;>50-60%;1;173939;57%
Jaboticabal;SP;3524303;05/04/2020;>50-60%;1;77263;57%
Jacareí;SP;3524402;05/04/2020;>50-60%;1;233662;60%
Jandira;SP;3525003;05/04/2020;>50-60%;1;124937;56%
Jaú;SP;3525300;05/04/2020;>50-60%;1;150252;58%
Leme;SP;3526704;05/04/2020;>60-70%;1;103391;60%
Limeira;SP;3526902;05/04/2020;>50-60%;1;306114;53%
Lins;SP;3527108;05/04/2020;>50-60%;1;78013;55%
Lorena;SP;3527207;05/04/2020;>60-70%;1;88706;67%
Mairiporã;SP;3528502;05/04/2020;>60-70%;1;100179;67%
Marília;SP;3529005;05/04/2020;>50-60%;1;238882;53%
Matão;SP;3529302;05/04/2020;>50-60%;1;83170;55%
