Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;08/04/2020;>50-60%;1;12252023;51%
Guarulhos;SP;3518800;08/04/2020;>50-60%;1;1379182;51%
Campinas;SP;3509502;08/04/2020;>40-50%;1;1204073;50%
São Bernardo do Campo;SP;3548708;08/04/2020;>50-60%;1;838936;52%
São José dos Campos;SP;3549904;08/04/2020;>50-60%;1;721944;51%
Santo André;SP;3547809;08/04/2020;>50-60%;1;718773;54%
Ribeirão Preto;SP;3543402;08/04/2020;>40-50%;1;703293;46%
Osasco;SP;3534401;08/04/2020;>50-60%;1;698418;52%
Sorocaba;SP;3552205;08/04/2020;>40-50%;1;679378;48%
Mauá;SP;3529401;08/04/2020;>50-60%;1;472912;51%
São José do Rio Preto;SP;3549805;08/04/2020;>40-50%;1;460671;44%
Mogi das Cruzes;SP;3530607;08/04/2020;>50-60%;1;445842;53%
Santos;SP;3548500;08/04/2020;>50-60%;1;433311;51%
Diadema;SP;3513801;08/04/2020;>50-60%;1;423884;54%
Jundiaí;SP;3525904;08/04/2020;>40-50%;1;418962;47%
Piracicaba;SP;3538709;08/04/2020;>40-50%;1;404142;48%
Carapicuíba;SP;3510609;08/04/2020;>50-60%;1;400927;52%
Bauru;SP;3506003;08/04/2020;>40-50%;1;376818;44%
Estado de São Paulo;;;08/04/2020;>40-50%;1;;50%
Americana;SP;3501608;08/04/2020;>40-50%;1;239597;49%
Amparo;SP;3501905;08/04/2020;>50-60%;1;72195;54%
Araçatuba;SP;3502804;08/04/2020;>40-50%;1;197016;43%
Araraquara;SP;3503208;08/04/2020;>40-50%;1;236072;45%
Araras;SP;3503307;08/04/2020;>40-50%;1;134236;49%
Arujá;SP;3503901;08/04/2020;>50-60%;1;89824;51%
Assis;SP;3504008;08/04/2020;>40-50%;1;104386;48%
Atibaia;SP;3504107;08/04/2020;>50-60%;1;142761;50%
Avaré;SP;3504503;08/04/2020;>40-50%;1;90655;49%
Barretos;SP;3505500;08/04/2020;>40-50%;1;122098;49%
Barueri;SP;3505708;08/04/2020;>40-50%;1;274182;46%
Bebedouro;SP;3506102;08/04/2020;>50-60%;1;77496;57%
Birigui;SP;3506508;08/04/2020;>40-50%;1;123638;50%
Botucatu;SP;3507506;08/04/2020;>40-50%;1;146497;50%
Bragança Paulista;SP;3507605;08/04/2020;>40-50%;1;168668;47%
Caçapava;SP;3508504;08/04/2020;>50-60%;1;94263;58%
Caieiras;SP;3509007;08/04/2020;>50-60%;1;101470;50%
Cajamar;SP;3509205;08/04/2020;>50-60%;1;76801;54%
Campo Limpo Paulista;SP;3509601;08/04/2020;>50-60%;1;84650;52%
Caraguatatuba;SP;3510500;08/04/2020;>50-60%;1;121532;57%
Catanduva;SP;3511102;08/04/2020;>40-50%;1;121862;42%
Cotia;SP;3513009;08/04/2020;>50-60%;1;249210;54%
Cruzeiro;SP;3513405;08/04/2020;>60-70%;1;82238;63%
