Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;01/04/2020;>50-60%;1;12252023;56%
Guarulhos;SP;3518800;01/04/2020;>50-60%;1;1379182;55%
Campinas;SP;3509502;01/04/2020;>50-60%;1;1204073;54%
São Bernardo do Campo;SP;3548708;01/04/2020;>50-60%;1;838936;55%
São José dos Campos;SP;3549904;01/04/2020;>50-60%;1;721944;56%
Santo André;SP;3547809;01/04/2020;>50-60%;1;718773;57%
Ribeirão Preto;SP;3543402;01/04/2020;>50-60%;1;703293;51%
Osasco;SP;3534401;01/04/2020;>50-60%;1;698418;56%
Sorocaba;SP;3552205;01/04/2020;>50-60%;1;679378;53%
Mauá;SP;3529401;01/04/2020;>50-60%;1;472912;56%
São José do Rio Preto;SP;3549805;01/04/2020;>40-50%;1;460671;50%
Mogi das Cruzes;SP;3530607;01/04/2020;>50-60%;1;445842;57%
Santos;SP;3548500;01/04/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;01/04/2020;>50-60%;1;423884;57%
Jundiaí;SP;3525904;01/04/2020;>50-60%;1;418962;51%
Piracicaba;SP;3538709;01/04/2020;>50-60%;1;404142;52%
Carapicuíba;SP;3510609;01/04/2020;>50-60%;1;400927;57%
Bauru;SP;3506003;01/04/2020;>40-50%;1;376818;49%
Estado de São Paulo;;;01/04/2020;>50-60%;1;;55%
Americana;SP;3501608;01/04/2020;>50-60%;1;239597;54%
Amparo;SP;3501905;01/04/2020;>50-60%;1;72195;57%
Araçatuba;SP;3502804;01/04/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;01/04/2020;>50-60%;1;236072;50%
Araras;SP;3503307;01/04/2020;>40-50%;1;134236;48%
Arujá;SP;3503901;01/04/2020;>50-60%;1;89824;55%
Assis;SP;3504008;01/04/2020;>50-60%;1;104386;55%
Atibaia;SP;3504107;01/04/2020;>50-60%;1;142761;58%
Avaré;SP;3504503;01/04/2020;>50-60%;1;90655;56%
Barretos;SP;3505500;01/04/2020;>50-60%;1;122098;53%
Barueri;SP;3505708;01/04/2020;>40-50%;1;274182;50%
Bebedouro;SP;3506102;01/04/2020;>60-70%;1;77496;64%
Birigui;SP;3506508;01/04/2020;>50-60%;1;123638;56%
Botucatu;SP;3507506;01/04/2020;>50-60%;1;146497;55%
Bragança Paulista;SP;3507605;01/04/2020;>50-60%;1;168668;52%
Caçapava;SP;3508504;01/04/2020;>50-60%;1;94263;59%
Caieiras;SP;3509007;01/04/2020;>50-60%;1;101470;55%
Cajamar;SP;3509205;01/04/2020;>50-60%;1;76801;58%
Campo Limpo Paulista;SP;3509601;01/04/2020;>50-60%;1;84650;58%
Caraguatatuba;SP;3510500;01/04/2020;>60-70%;1;121532;64%
Catanduva;SP;3511102;01/04/2020;>40-50%;1;121862;48%
Cotia;SP;3513009;01/04/2020;>50-60%;1;249210;58%
Cruzeiro;SP;3513405;01/04/2020;>60-70%;1;82238;68%
Cubatão;SP;3513504;01/04/2020;>40-50%;1;130705;49%
Embu das Artes;SP;3515004;01/04/2020;>50-60%;1;273726;56%
Ferraz de Vasconcelos;SP;3515707;01/04/2020;>50-60%;1;194276;55%
Franca;SP;3516200;01/04/2020;>50-60%;1;353187;50%
Francisco Morato;SP;3516309;01/04/2020;>50-60%;1;175844;51%
Franco da Rocha;SP;3516408;01/04/2020;>50-60%;1;154489;55%
Guaratinguetá;SP;3518404;01/04/2020;>50-60%;1;121798;58%
Guarujá;SP;3518701;01/04/2020;>50-60%;1;320459;58%
Hortolândia;SP;3519071;01/04/2020;>50-60%;1;230851;56%
Ibiúna;SP;3519709;01/04/2020;>60-70%;1;78878;64%
Indaiatuba;SP;3520509;01/04/2020;>50-60%;1;251627;57%
Itanhaém;SP;3522109;01/04/2020;>60-70%;1;101816;63%
Itapecerica da Serra;SP;3522208;01/04/2020;>50-60%;1;175693;60%
Itapetininga;SP;3522307;01/04/2020;>50-60%;1;163901;55%
Itapeva;SP;3522406;01/04/2020;>50-60%;1;94354;53%
Itapevi;SP;3522505;01/04/2020;>50-60%;1;237700;54%
Itapira;SP;3522604;01/04/2020;>50-60%;1;74773;57%
Itaquaquecetuba;SP;3523107;01/04/2020;>50-60%;1;370821;58%
Itatiba;SP;3523404;01/04/2020;>50-60%;1;120858;53%
Itu;SP;3523909;01/04/2020;>50-60%;1;173939;54%
Jaboticabal;SP;3524303;01/04/2020;>50-60%;1;77263;54%
Jacareí;SP;3524402;01/04/2020;>50-60%;1;233662;55%
Jandira;SP;3525003;01/04/2020;>50-60%;1;124937;56%
Jaú;SP;3525300;01/04/2020;>50-60%;1;150252;54%
Leme;SP;3526704;01/04/2020;>50-60%;1;103391;58%
Limeira;SP;3526902;01/04/2020;>40-50%;1;306114;48%
Lins;SP;3527108;01/04/2020;>50-60%;1;78013;52%
Lorena;SP;3527207;01/04/2020;>60-70%;1;88706;65%
Mairiporã;SP;3528502;01/04/2020;>60-70%;1;100179;60%
Marília;SP;3529005;01/04/2020;>50-60%;1;238882;51%
Matão;SP;3529302;01/04/2020;>50-60%;1;83170;52%
Mogi Guaçu;SP;3530706;01/04/2020;>50-60%;1;151888;55%
Mogi Mirim;SP;3530805;01/04/2020;>50-60%;1;93189;57%
Ourinhos;SP;3534708;01/04/2020;>50-60%;1;113542;54%
Paulínia;SP;3536505;01/04/2020;>50-60%;1;109424;55%
