Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;30/03/2020;>50-60%;1;12252023;57%
Guarulhos;SP;3518800;30/03/2020;>50-60%;1;1379182;55%
Campinas;SP;3509502;30/03/2020;>50-60%;1;1204073;55%
São Bernardo do Campo;SP;3548708;30/03/2020;>50-60%;1;838936;56%
São José dos Campos;SP;3549904;30/03/2020;>50-60%;1;721944;56%
Santo André;SP;3547809;30/03/2020;>50-60%;1;718773;58%
Ribeirão Preto;SP;3543402;30/03/2020;>50-60%;1;703293;51%
Osasco;SP;3534401;30/03/2020;>50-60%;1;698418;56%
Sorocaba;SP;3552205;30/03/2020;>50-60%;1;679378;53%
Mauá;SP;3529401;30/03/2020;>50-60%;1;472912;57%
São José do Rio Preto;SP;3549805;30/03/2020;>40-50%;1;460671;50%
Mogi das Cruzes;SP;3530607;30/03/2020;>50-60%;1;445842;58%
Santos;SP;3548500;30/03/2020;>50-60%;1;433311;56%
Diadema;SP;3513801;30/03/2020;>50-60%;1;423884;58%
Jundiaí;SP;3525904;30/03/2020;>50-60%;1;418962;52%
Piracicaba;SP;3538709;30/03/2020;>50-60%;1;404142;53%
Carapicuíba;SP;3510609;30/03/2020;>50-60%;1;400927;54%
Bauru;SP;3506003;30/03/2020;>50-60%;1;376818;50%
Estado de São Paulo;;;30/03/2020;>50-60%;1;;55%
Americana;SP;3501608;30/03/2020;>50-60%;1;239597;54%
Amparo;SP;3501905;30/03/2020;>50-60%;1;72195;54%
Araçatuba;SP;3502804;30/03/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;30/03/2020;>50-60%;1;236072;51%
Araras;SP;3503307;30/03/2020;>50-60%;1;134236;55%
Arujá;SP;3503901;30/03/2020;>50-60%;1;89824;51%
Assis;SP;3504008;30/03/2020;>50-60%;1;104386;56%
Atibaia;SP;3504107;30/03/2020;>50-60%;1;142761;58%
Avaré;SP;3504503;30/03/2020;>50-60%;1;90655;57%
Barretos;SP;3505500;30/03/2020;>50-60%;1;122098;56%
Barueri;SP;3505708;30/03/2020;>50-60%;1;274182;51%
Bebedouro;SP;3506102;30/03/2020;>60-70%;1;77496;64%
Birigui;SP;3506508;30/03/2020;>50-60%;1;123638;57%
Botucatu;SP;3507506;30/03/2020;>50-60%;1;146497;56%
Bragança Paulista;SP;3507605;30/03/2020;>50-60%;1;168668;52%
Caçapava;SP;3508504;30/03/2020;>60-70%;1;94263;64%
Caieiras;SP;3509007;30/03/2020;>50-60%;1;101470;55%
Cajamar;SP;3509205;30/03/2020;>50-60%;1;76801;59%
Campo Limpo Paulista;SP;3509601;30/03/2020;>50-60%;1;84650;57%
Caraguatatuba;SP;3510500;30/03/2020;>60-70%;1;121532;64%
Catanduva;SP;3511102;30/03/2020;>40-50%;1;121862;48%
Cotia;SP;3513009;30/03/2020;>50-60%;1;249210;57%
Cruzeiro;SP;3513405;30/03/2020;>60-70%;1;82238;68%
Cubatão;SP;3513504;30/03/2020;>50-60%;1;130705;51%
Embu das Artes;SP;3515004;30/03/2020;>50-60%;1;273726;56%
Ferraz de Vasconcelos;SP;3515707;30/03/2020;>50-60%;1;194276;55%
Franca;SP;3516200;30/03/2020;>50-60%;1;353187;52%
Francisco Morato;SP;3516309;30/03/2020;>50-60%;1;175844;54%
Franco da Rocha;SP;3516408;30/03/2020;>50-60%;1;154489;56%
Guaratinguetá;SP;3518404;30/03/2020;>50-60%;1;121798;60%
Guarujá;SP;3518701;30/03/2020;>50-60%;1;320459;60%
Hortolândia;SP;3519071;30/03/2020;>50-60%;1;230851;57%
Ibiúna;SP;3519709;30/03/2020;>60-70%;1;78878;63%
Indaiatuba;SP;3520509;30/03/2020;>50-60%;1;251627;58%
Itanhaém;SP;3522109;30/03/2020;>60-70%;1;101816;63%
Itapecerica da Serra;SP;3522208;30/03/2020;>50-60%;1;175693;59%
Itapetininga;SP;3522307;30/03/2020;>50-60%;1;163901;56%
