Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;29/03/2020;>50-60%;1;12252023;59%
Guarulhos;SP;3518800;29/03/2020;>60-70%;1;1379182;61%
Campinas;SP;3509502;29/03/2020;>50-60%;1;1204073;59%
São Bernardo do Campo;SP;3548708;29/03/2020;>50-60%;1;838936;59%
São José dos Campos;SP;3549904;29/03/2020;>50-60%;1;721944;60%
Santo André;SP;3547809;29/03/2020;>50-60%;1;718773;60%
Ribeirão Preto;SP;3543402;29/03/2020;>50-60%;1;703293;56%
Osasco;SP;3534401;29/03/2020;>60-70%;1;698418;61%
Sorocaba;SP;3552205;29/03/2020;>50-60%;1;679378;56%
Mauá;SP;3529401;29/03/2020;>50-60%;1;472912;60%
São José do Rio Preto;SP;3549805;29/03/2020;>50-60%;1;460671;57%
Mogi das Cruzes;SP;3530607;29/03/2020;>60-70%;1;445842;60%
Santos;SP;3548500;29/03/2020;>50-60%;1;433311;58%
Diadema;SP;3513801;29/03/2020;>60-70%;1;423884;62%
Jundiaí;SP;3525904;29/03/2020;>50-60%;1;418962;58%
Piracicaba;SP;3538709;29/03/2020;>50-60%;1;404142;57%
Carapicuíba;SP;3510609;29/03/2020;>50-60%;1;400927;60%
Bauru;SP;3506003;29/03/2020;>50-60%;1;376818;55%
Estado de São Paulo;;;29/03/2020;>50-60%;1;;59%
Americana;SP;3501608;29/03/2020;>50-60%;1;239597;59%
Amparo;SP;3501905;29/03/2020;>60-70%;1;72195;60%
Araçatuba;SP;3502804;29/03/2020;>50-60%;1;197016;52%
Araraquara;SP;3503208;29/03/2020;>50-60%;1;236072;54%
Araras;SP;3503307;29/03/2020;>50-60%;1;134236;58%
Arujá;SP;3503901;29/03/2020;>60-70%;1;89824;60%
Assis;SP;3504008;29/03/2020;>50-60%;1;104386;57%
Atibaia;SP;3504107;29/03/2020;>60-70%;1;142761;61%
Avaré;SP;3504503;29/03/2020;>50-60%;1;90655;57%
Barretos;SP;3505500;29/03/2020;>50-60%;1;122098;58%
Barueri;SP;3505708;29/03/2020;>50-60%;1;274182;56%
Bebedouro;SP;3506102;29/03/2020;>60-70%;1;77496;69%
Birigui;SP;3506508;29/03/2020;>50-60%;1;123638;56%
Botucatu;SP;3507506;29/03/2020;>50-60%;1;146497;56%
Bragança Paulista;SP;3507605;29/03/2020;>50-60%;1;168668;55%
Caçapava;SP;3508504;29/03/2020;>60-70%;1;94263;63%
Caieiras;SP;3509007;29/03/2020;>50-60%;1;101470;58%
Cajamar;SP;3509205;29/03/2020;>60-70%;1;76801;66%
Campo Limpo Paulista;SP;3509601;29/03/2020;>60-70%;1;84650;61%
Caraguatatuba;SP;3510500;29/03/2020;>60-70%;1;121532;64%
