Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;15/04/2020;>40-50%;1;12252023;50%
Guarulhos;SP;3518800;15/04/2020;>50-60%;1;1379182;51%
Campinas;SP;3509502;15/04/2020;>40-50%;1;1204073;48%
São Bernardo do Campo;SP;3548708;15/04/2020;>50-60%;1;838936;51%
São José dos Campos;SP;3549904;15/04/2020;>50-60%;1;721944;50%
Santo André;SP;3547809;15/04/2020;>50-60%;1;718773;52%
Ribeirão Preto;SP;3543402;15/04/2020;>40-50%;1;703293;43%
Osasco;SP;3534401;15/04/2020;>50-60%;1;698418;52%
Sorocaba;SP;3552205;15/04/2020;>40-50%;1;679378;48%
Mauá;SP;3529401;15/04/2020;>50-60%;1;472912;52%
São José do Rio Preto;SP;3549805;15/04/2020;>40-50%;1;460671;43%
Mogi das Cruzes;SP;3530607;15/04/2020;>50-60%;1;445842;54%
Santos;SP;3548500;15/04/2020;>40-50%;1;433311;49%
Diadema;SP;3513801;15/04/2020;>50-60%;1;423884;54%
Jundiaí;SP;3525904;15/04/2020;>40-50%;1;418962;48%
Piracicaba;SP;3538709;15/04/2020;>40-50%;1;404142;47%
Carapicuíba;SP;3510609;15/04/2020;>50-60%;1;400927;53%
Estado de São Paulo;;;15/04/2020;>40-50%;1;;50%
Americana;SP;3501608;15/04/2020;>40-50%;1;239597;47%
Amparo;SP;3501905;15/04/2020;>50-60%;1;72195;53%
Araçatuba;SP;3502804;15/04/2020;>40-50%;1;197016;43%
Araraquara;SP;3503208;15/04/2020;>40-50%;1;236072;45%
Araras;SP;3503307;15/04/2020;>40-50%;1;134236;50%
Arujá;SP;3503901;15/04/2020;>50-60%;1;89824;54%
Assis;SP;3504008;15/04/2020;>40-50%;1;104386;48%
Atibaia;SP;3504107;15/04/2020;>50-60%;1;142761;52%
Avaré;SP;3504503;15/04/2020;>50-60%;1;90655;52%
Barretos;SP;3505500;15/04/2020;>40-50%;1;122098;48%
Barueri;SP;3505708;15/04/2020;>40-50%;1;274182;45%
Bauru;SP;3506003;15/04/2020;>40-50%;1;376818;44%
Bebedouro;SP;3506102;15/04/2020;>50-60%;1;77496;55%
Birigui;SP;3506508;15/04/2020;>40-50%;1;123638;50%
Botucatu;SP;3507506;15/04/2020;>40-50%;1;146497;50%
Bragança Paulista;SP;3507605;15/04/2020;>40-50%;1;168668;48%
Caçapava;SP;3508504;15/04/2020;>50-60%;1;94263;57%
Caieiras;SP;3509007;15/04/2020;>50-60%;1;101470;55%
Cajamar;SP;3509205;15/04/2020;>50-60%;1;76801;57%
Campo Limpo Paulista;SP;3509601;15/04/2020;>50-60%;1;84650;56%
Caraguatatuba;SP;3510500;15/04/2020;>50-60%;1;121532;58%
Catanduva;SP;3511102;15/04/2020;>40-50%;1;121862;41%
Cotia;SP;3513009;15/04/2020;>50-60%;1;249210;53%
Cruzeiro;SP;3513405;15/04/2020;>60-70%;1;82238;60%
Cubatão;SP;3513504;15/04/2020;>50-60%;1;130705;50%
Embu das Artes;SP;3515004;15/04/2020;>50-60%;1;273726;51%
Ferraz de Vasconcelos;SP;3515707;15/04/2020;>50-60%;1;194276;51%
Franca;SP;3516200;15/04/2020;>40-50%;1;353187;44%
Francisco Morato;SP;3516309;15/04/2020;>50-60%;1;175844;51%
Franco da Rocha;SP;3516408;15/04/2020;>50-60%;1;154489;54%
Guaratinguetá;SP;3518404;15/04/2020;>50-60%;1;121798;53%
Guarujá;SP;3518701;15/04/2020;>50-60%;1;320459;54%
Hortolândia;SP;3519071;15/04/2020;>50-60%;1;230851;51%
Ibiúna;SP;3519709;15/04/2020;>50-60%;1;78878;59%
Indaiatuba;SP;3520509;15/04/2020;>50-60%;1;251627;52%
Itanhaém;SP;3522109;15/04/2020;>50-60%;1;101816;59%
Itapecerica da Serra;SP;3522208;15/04/2020;>50-60%;1;175693;56%
Itapetininga;SP;3522307;15/04/2020;>50-60%;1;163901;51%
Itapeva;SP;3522406;15/04/2020;>40-50%;1;94354;48%
Itapevi;SP;3522505;15/04/2020;>50-60%;1;237700;53%
Itapira;SP;3522604;15/04/2020;>50-60%;1;74773;51%
Itaquaquecetuba;SP;3523107;15/04/2020;>50-60%;1;370821;55%
Itatiba;SP;3523404;15/04/2020;>40-50%;1;120858;47%
Itu;SP;3523909;15/04/2020;>40-50%;1;173939;49%
Jaboticabal;SP;3524303;15/04/2020;Até 40%;1;77263;39%
Jacareí;SP;3524402;15/04/2020;>50-60%;1;233662;52%
Jandira;SP;3525003;15/04/2020;>50-60%;1;124937;52%
Jaú;SP;3525300;15/04/2020;>50-60%;1;150252;50%
Leme;SP;3526704;15/04/2020;>50-60%;1;103391;51%
Limeira;SP;3526902;15/04/2020;>40-50%;1;306114;42%
Lins;SP;3527108;15/04/2020;>40-50%;1;78013;48%
Lorena;SP;3527207;15/04/2020;>60-70%;1;88706;61%
Mairiporã;SP;3528502;15/04/2020;>50-60%;1;100179;58%
Marília;SP;3529005;15/04/2020;>40-50%;1;238882;46%
Matão;SP;3529302;15/04/2020;>40-50%;1;83170;45%
Mogi Guaçu;SP;3530706;15/04/2020;>50-60%;1;151888;50%
Mogi Mirim;SP;3530805;15/04/2020;>40-50%;1;93189;50%
Ourinhos;SP;3534708;15/04/2020;>50-60%;1;113542;52%
Paulínia;SP;3536505;15/04/2020;>40-50%;1;109424;49%
Pindamonhangaba;SP;3538006;15/04/2020;>50-60%;1;168328;54%
Pirassununga;SP;3539301;15/04/2020;>50-60%;1;76409;55%
Poá;SP;3539806;15/04/2020;>50-60%;1;117452;56%
Praia Grande;SP;3541000;15/04/2020;>50-60%;1;325073;52%
Presidente Prudente;SP;3541406;15/04/2020;>40-50%;1;228743;43%
Ribeirão Pires;SP;3543303;15/04/2020;>50-60%;1;123393;59%
Rio Claro;SP;3543907;15/04/2020;>50-60%;1;206424;52%
Salto;SP;3545209;15/04/2020;>40-50%;1;118663;50%
Santa Bárbara d'Oeste;SP;3545803;15/04/2020;>40-50%;1;193475;45%
Santana de Parnaíba;SP;3547304;15/04/2020;>50-60%;1;139447;53%
São Caetano do Sul;SP;3548807;15/04/2020;>40-50%;1;161127;50%
São Carlos;SP;3548906;15/04/2020;>50-60%;1;251983;51%
São João da Boa Vista;SP;3549102;15/04/2020;>50-60%;1;91211;52%
São Roque;SP;3550605;15/04/2020;>50-60%;1;91016;55%
São Sebastião;SP;3550704;15/04/2020;>60-70%;1;88980;66%
São Vicente;SP;3551009;15/04/2020;>50-60%;1;365798;58%
Sertãozinho;SP;3551702;15/04/2020;>50-60%;1;125815;52%
Sumaré;SP;3552403;15/04/2020;>40-50%;1;282441;45%
Suzano;SP;3552502;15/04/2020;>50-60%;1;297637;54%
