Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;22/04/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;22/04/2020;>40-50%;1;1379182;50%
Campinas;SP;3509502;22/04/2020;>40-50%;1;1204073;46%
São Bernardo do Campo;SP;3548708;22/04/2020;>40-50%;1;838936;49%
São José dos Campos;SP;3549904;22/04/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;22/04/2020;>40-50%;1;718773;50%
Ribeirão Preto;SP;3543402;22/04/2020;>40-50%;1;703293;41%
Osasco;SP;3534401;22/04/2020;>50-60%;1;698418;50%
Sorocaba;SP;3552205;22/04/2020;>40-50%;1;679378;46%
Mauá;SP;3529401;22/04/2020;>50-60%;1;472912;51%
São José do Rio Preto;SP;3549805;22/04/2020;>40-50%;1;460671;40%
Mogi das Cruzes;SP;3530607;22/04/2020;>50-60%;1;445842;52%
Santos;SP;3548500;22/04/2020;>40-50%;1;433311;47%
Diadema;SP;3513801;22/04/2020;>50-60%;1;423884;51%
Jundiaí;SP;3525904;22/04/2020;>40-50%;1;418962;45%
Piracicaba;SP;3538709;22/04/2020;>40-50%;1;404142;46%
Carapicuíba;SP;3510609;22/04/2020;>50-60%;1;400927;51%
Estado de São Paulo;;;22/04/2020;>40-50%;1;;48%
Americana;SP;3501608;22/04/2020;>40-50%;1;239597;45%
Amparo;SP;3501905;22/04/2020;>50-60%;1;72195;51%
Araçatuba;SP;3502804;22/04/2020;>40-50%;1;197016;41%
Araraquara;SP;3503208;22/04/2020;>40-50%;1;236072;42%
Araras;SP;3503307;22/04/2020;>40-50%;1;134236;48%
Arujá;SP;3503901;22/04/2020;>50-60%;1;89824;52%
Assis;SP;3504008;22/04/2020;>40-50%;1;104386;47%
Atibaia;SP;3504107;22/04/2020;>40-50%;1;142761;49%
Avaré;SP;3504503;22/04/2020;>40-50%;1;90655;50%
Barretos;SP;3505500;22/04/2020;>40-50%;1;122098;47%
Barueri;SP;3505708;22/04/2020;>40-50%;1;274182;43%
Bauru;SP;3506003;22/04/2020;>40-50%;1;376818;42%
Bebedouro;SP;3506102;22/04/2020;>50-60%;1;77496;55%
Birigui;SP;3506508;22/04/2020;>40-50%;1;123638;49%
Botucatu;SP;3507506;22/04/2020;>40-50%;1;146497;47%
Bragança Paulista;SP;3507605;22/04/2020;>40-50%;1;168668;47%
Caçapava;SP;3508504;22/04/2020;>50-60%;1;94263;56%
Caieiras;SP;3509007;22/04/2020;>50-60%;1;101470;53%
Cajamar;SP;3509205;22/04/2020;>50-60%;1;76801;55%
Campo Limpo Paulista;SP;3509601;22/04/2020;>50-60%;1;84650;52%
Caraguatatuba;SP;3510500;22/04/2020;>50-60%;1;121532;55%
Catanduva;SP;3511102;22/04/2020;>40-50%;1;121862;40%
Cotia;SP;3513009;22/04/2020;>40-50%;1;249210;50%
