Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;04/04/2020;>50-60%;1;12252023;58%
Guarulhos;SP;3518800;04/04/2020;>50-60%;1;1379182;59%
Campinas;SP;3509502;04/04/2020;>50-60%;1;1204073;58%
São Bernardo do Campo;SP;3548708;04/04/2020;>50-60%;1;838936;58%
São José dos Campos;SP;3549904;04/04/2020;>50-60%;1;721944;58%
Santo André;SP;3547809;04/04/2020;>50-60%;1;718773;58%
Ribeirão Preto;SP;3543402;04/04/2020;>50-60%;1;703293;55%
Osasco;SP;3534401;04/04/2020;>50-60%;1;698418;59%
Sorocaba;SP;3552205;04/04/2020;>50-60%;1;679378;54%
Mauá;SP;3529401;04/04/2020;>50-60%;1;472912;59%
São José do Rio Preto;SP;3549805;04/04/2020;>50-60%;1;460671;53%
Mogi das Cruzes;SP;3530607;04/04/2020;>50-60%;1;445842;60%
Santos;SP;3548500;04/04/2020;>50-60%;1;433311;58%
Diadema;SP;3513801;04/04/2020;>60-70%;1;423884;61%
Jundiaí;SP;3525904;04/04/2020;>50-60%;1;418962;54%
Piracicaba;SP;3538709;04/04/2020;>50-60%;1;404142;55%
Carapicuíba;SP;3510609;04/04/2020;>50-60%;1;400927;60%
Bauru;SP;3506003;04/04/2020;>50-60%;1;376818;52%
Estado de São Paulo;;;04/04/2020;>50-60%;1;;57%
Americana;SP;3501608;04/04/2020;>50-60%;1;239597;58%
Amparo;SP;3501905;04/04/2020;>50-60%;1;72195;59%
Araçatuba;SP;3502804;04/04/2020;>50-60%;1;197016;51%
Araraquara;SP;3503208;04/04/2020;>50-60%;1;236072;52%
Araras;SP;3503307;04/04/2020;>50-60%;1;134236;56%
Arujá;SP;3503901;04/04/2020;>60-70%;1;89824;61%
Assis;SP;3504008;04/04/2020;>50-60%;1;104386;55%
Atibaia;SP;3504107;04/04/2020;>60-70%;1;142761;60%
Avaré;SP;3504503;04/04/2020;>50-60%;1;90655;57%
Barretos;SP;3505500;04/04/2020;>50-60%;1;122098;58%
Barueri;SP;3505708;04/04/2020;>50-60%;1;274182;53%
Bebedouro;SP;3506102;04/04/2020;>60-70%;1;77496;67%
Birigui;SP;3506508;04/04/2020;>50-60%;1;123638;56%
Botucatu;SP;3507506;04/04/2020;>50-60%;1;146497;57%
Bragança Paulista;SP;3507605;04/04/2020;>50-60%;1;168668;55%
Caçapava;SP;3508504;04/04/2020;>60-70%;1;94263;65%
Caieiras;SP;3509007;04/04/2020;>60-70%;1;101470;60%
Cajamar;SP;3509205;04/04/2020;>60-70%;1;76801;62%
Campo Limpo Paulista;SP;3509601;04/04/2020;>60-70%;1;84650;61%
Caraguatatuba;SP;3510500;04/04/2020;>60-70%;1;121532;66%
Catanduva;SP;3511102;04/04/2020;>50-60%;1;121862;50%
Cotia;SP;3513009;04/04/2020;>60-70%;1;249210;62%
Cruzeiro;SP;3513405;04/04/2020;>60-70%;1;82238;68%
Cubatão;SP;3513504;04/04/2020;>50-60%;1;130705;53%
Embu das Artes;SP;3515004;04/04/2020;>50-60%;1;273726;59%
Ferraz de Vasconcelos;SP;3515707;04/04/2020;>50-60%;1;194276;51%
Franca;SP;3516200;04/04/2020;>50-60%;1;353187;55%
Francisco Morato;SP;3516309;04/04/2020;>50-60%;1;175844;56%
Franco da Rocha;SP;3516408;04/04/2020;>50-60%;1;154489;58%
Guaratinguetá;SP;3518404;04/04/2020;>60-70%;1;121798;61%
