Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;11/04/2020;>50-60%;1;12252023;54%
Guarulhos;SP;3518800;11/04/2020;>50-60%;1;1379182;58%
Campinas;SP;3509502;11/04/2020;>50-60%;1;1204073;54%
São Bernardo do Campo;SP;3548708;11/04/2020;>50-60%;1;838936;56%
São José dos Campos;SP;3549904;11/04/2020;>50-60%;1;721944;56%
Santo André;SP;3547809;11/04/2020;>50-60%;1;718773;55%
Ribeirão Preto;SP;3543402;11/04/2020;>40-50%;1;703293;50%
Osasco;SP;3534401;11/04/2020;>50-60%;1;698418;57%
Sorocaba;SP;3552205;11/04/2020;>50-60%;1;679378;53%
Mauá;SP;3529401;11/04/2020;>50-60%;1;472912;58%
São José do Rio Preto;SP;3549805;11/04/2020;>40-50%;1;460671;49%
Mogi das Cruzes;SP;3530607;11/04/2020;>50-60%;1;445842;58%
Santos;SP;3548500;11/04/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;11/04/2020;>60-70%;1;423884;60%
Jundiaí;SP;3525904;11/04/2020;>50-60%;1;418962;53%
Piracicaba;SP;3538709;11/04/2020;>50-60%;1;404142;52%
Carapicuíba;SP;3510609;11/04/2020;>50-60%;1;400927;59%
Bauru;SP;3506003;11/04/2020;>40-50%;1;376818;48%
Estado de São Paulo;;;11/04/2020;>50-60%;1;;55%
Americana;SP;3501608;11/04/2020;>50-60%;1;239597;53%
Amparo;SP;3501905;11/04/2020;>50-60%;1;72195;59%
Araçatuba;SP;3502804;11/04/2020;>40-50%;1;197016;47%
Araraquara;SP;3503208;11/04/2020;>40-50%;1;236072;48%
Araras;SP;3503307;11/04/2020;>50-60%;1;134236;54%
Arujá;SP;3503901;11/04/2020;>60-70%;1;89824;63%
Assis;SP;3504008;11/04/2020;>50-60%;1;104386;51%
Atibaia;SP;3504107;11/04/2020;>50-60%;1;142761;56%
Avaré;SP;3504503;11/04/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;11/04/2020;>50-60%;1;122098;53%
Barueri;SP;3505708;11/04/2020;>50-60%;1;274182;51%
Bebedouro;SP;3506102;11/04/2020;>60-70%;1;77496;65%
Birigui;SP;3506508;11/04/2020;>50-60%;1;123638;53%
Botucatu;SP;3507506;11/04/2020;>50-60%;1;146497;56%
Bragança Paulista;SP;3507605;11/04/2020;>50-60%;1;168668;52%
Caçapava;SP;3508504;11/04/2020;>60-70%;1;94263;63%
Caieiras;SP;3509007;11/04/2020;>60-70%;1;101470;63%
Cajamar;SP;3509205;11/04/2020;>60-70%;1;76801;64%
Campo Limpo Paulista;SP;3509601;11/04/2020;>50-60%;1;84650;60%
Caraguatatuba;SP;3510500;11/04/2020;>60-70%;1;121532;64%
Catanduva;SP;3511102;11/04/2020;>40-50%;1;121862;46%
Cotia;SP;3513009;11/04/2020;>50-60%;1;249210;58%
Cruzeiro;SP;3513405;11/04/2020;>60-70%;1;82238;65%
Cubatão;SP;3513504;11/04/2020;>50-60%;1;130705;57%
Embu das Artes;SP;3515004;11/04/2020;>50-60%;1;273726;57%
Ferraz de Vasconcelos;SP;3515707;11/04/2020;>50-60%;1;194276;56%
Franca;SP;3516200;11/04/2020;>50-60%;1;353187;52%
Francisco Morato;SP;3516309;11/04/2020;>50-60%;1;175844;54%
Franco da Rocha;SP;3516408;11/04/2020;>50-60%;1;154489;58%
Guaratinguetá;SP;3518404;11/04/2020;>50-60%;1;121798;59%
Guarujá;SP;3518701;11/04/2020;>50-60%;1;320459;59%
Hortolândia;SP;3519071;11/04/2020;>50-60%;1;230851;57%
Ibiúna;SP;3519709;11/04/2020;>60-70%;1;78878;63%
Indaiatuba;SP;3520509;11/04/2020;>50-60%;1;251627;57%
Itanhaém;SP;3522109;11/04/2020;>60-70%;1;101816;63%
Itapecerica da Serra;SP;3522208;11/04/2020;>60-70%;1;175693;61%
Itapetininga;SP;3522307;11/04/2020;>50-60%;1;163901;55%
Itapeva;SP;3522406;11/04/2020;>50-60%;1;94354;52%
Itapevi;SP;3522505;11/04/2020;>50-60%;1;237700;56%
Itapira;SP;3522604;11/04/2020;>50-60%;1;74773;57%
Itaquaquecetuba;SP;3523107;11/04/2020;>60-70%;1;370821;61%
Itatiba;SP;3523404;11/04/2020;>50-60%;1;120858;50%
Itu;SP;3523909;11/04/2020;>50-60%;1;173939;54%
Jaboticabal;SP;3524303;11/04/2020;>40-50%;1;77263;49%
Jacareí;SP;3524402;11/04/2020;>50-60%;1;233662;57%
Jandira;SP;3525003;11/04/2020;>60-70%;1;124937;61%
Jaú;SP;3525300;11/04/2020;>50-60%;1;150252;55%
Leme;SP;3526704;11/04/2020;>50-60%;1;103391;55%
Limeira;SP;3526902;11/04/2020;>40-50%;1;306114;47%
Lins;SP;3527108;11/04/2020;>50-60%;1;78013;52%
Lorena;SP;3527207;11/04/2020;>60-70%;1;88706;66%
Mairiporã;SP;3528502;11/04/2020;>60-70%;1;100179;63%
Marília;SP;3529005;11/04/2020;>40-50%;1;238882;49%
Matão;SP;3529302;11/04/2020;>40-50%;1;83170;49%
Mogi Guaçu;SP;3530706;11/04/2020;>50-60%;1;151888;54%
Mogi Mirim;SP;3530805;11/04/2020;>50-60%;1;93189;56%
Ourinhos;SP;3534708;11/04/2020;>50-60%;1;113542;55%
Paulínia;SP;3536505;11/04/2020;>50-60%;1;109424;55%
Pindamonhangaba;SP;3538006;11/04/2020;>60-70%;1;168328;63%
Pirassununga;SP;3539301;11/04/2020;>50-60%;1;76409;59%
Poá;SP;3539806;11/04/2020;>60-70%;1;117452;62%
Praia Grande;SP;3541000;11/04/2020;>50-60%;1;325073;56%
Presidente Prudente;SP;3541406;11/04/2020;>40-50%;1;228743;47%
Ribeirão Pires;SP;3543303;11/04/2020;>60-70%;1;123393;66%
Rio Claro;SP;3543907;11/04/2020;>50-60%;1;206424;57%
Salto;SP;3545209;11/04/2020;>50-60%;1;118663;56%
Santa Bárbara d'Oeste;SP;3545803;11/04/2020;>50-60%;1;193475;51%
Santana de Parnaíba;SP;3547304;11/04/2020;>50-60%;1;139447;56%
São Caetano do Sul;SP;3548807;11/04/2020;>50-60%;1;161127;54%
São Carlos;SP;3548906;11/04/2020;>50-60%;1;251983;56%
São João da Boa Vista;SP;3549102;11/04/2020;>50-60%;1;91211;59%
São Roque;SP;3550605;11/04/2020;>50-60%;1;91016;59%
São Sebastião;SP;3550704;11/04/2020;>70%;1;88980;71%
São Vicente;SP;3551009;11/04/2020;>60-70%;1;365798;62%
Sertãozinho;SP;3551702;11/04/2020;>60-70%;1;125815;61%
Sumaré;SP;3552403;11/04/2020;>50-60%;1;282441;52%
Suzano;SP;3552502;11/04/2020;>50-60%;1;297637;58%
Taboão da Serra;SP;3552809;11/04/2020;>50-60%;1;289664;55%
Tatuí;SP;3554003;11/04/2020;>50-60%;1;121766;57%
Taubaté;SP;3554102;11/04/2020;>50-60%;1;314924;55%
Ubatuba;SP;3555406;11/04/2020;>60-70%;1;90799;69%
Valinhos;SP;3556206;11/04/2020;>50-60%;1;129193;55%
Várzea Paulista;SP;3556503;11/04/2020;>50-60%;1;121838;56%
Vinhedo;SP;3556701;11/04/2020;>50-60%;1;78728;60%
Votorantim;SP;3557006;11/04/2020;>50-60%;1;122480;55%
Votuporanga;SP;3557105;11/04/2020;>50-60%;1;94547;59%
