Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;26/03/2020;>50-60%;1;12252023;55%
Guarulhos;SP;3518800;26/03/2020;>50-60%;1;1379182;54%
Campinas;SP;3509502;26/03/2020;>50-60%;1;1204073;54%
São Bernardo do Campo;SP;3548708;26/03/2020;>50-60%;1;838936;55%
São José dos Campos;SP;3549904;26/03/2020;>50-60%;1;721944;54%
Santo André;SP;3547809;26/03/2020;>50-60%;1;718773;56%
Ribeirão Preto;SP;3543402;26/03/2020;>50-60%;1;703293;51%
Osasco;SP;3534401;26/03/2020;>50-60%;1;698418;55%
Sorocaba;SP;3552205;26/03/2020;>50-60%;1;679378;51%
Mauá;SP;3529401;26/03/2020;>50-60%;1;472912;55%
São José do Rio Preto;SP;3549805;26/03/2020;>40-50%;1;460671;49%
Mogi das Cruzes;SP;3530607;26/03/2020;>50-60%;1;445842;56%
Santos;SP;3548500;26/03/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;26/03/2020;>50-60%;1;423884;56%
Jundiaí;SP;3525904;26/03/2020;>50-60%;1;418962;51%
Piracicaba;SP;3538709;26/03/2020;>50-60%;1;404142;52%
Carapicuíba;SP;3510609;26/03/2020;>50-60%;1;400927;53%
Bauru;SP;3506003;26/03/2020;>40-50%;1;376818;48%
Estado de São Paulo;;;26/03/2020;>50-60%;1;;54%
Americana;SP;3501608;26/03/2020;>50-60%;1;239597;54%
Amparo;SP;3501905;26/03/2020;>50-60%;1;72195;54%
Araçatuba;SP;3502804;26/03/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;26/03/2020;>40-50%;1;236072;50%
Araras;SP;3503307;26/03/2020;>50-60%;1;134236;53%
Arujá;SP;3503901;26/03/2020;>50-60%;1;89824;53%
Assis;SP;3504008;26/03/2020;>50-60%;1;104386;54%
Atibaia;SP;3504107;26/03/2020;>50-60%;1;142761;56%
Avaré;SP;3504503;26/03/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;26/03/2020;>50-60%;1;122098;51%
