Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;18/04/2020;>50-60%;1;12252023;53%
Guarulhos;SP;3518800;18/04/2020;>50-60%;1;1379182;56%
Campinas;SP;3509502;18/04/2020;>50-60%;1;1204073;52%
São Bernardo do Campo;SP;3548708;18/04/2020;>50-60%;1;838936;54%
São José dos Campos;SP;3549904;18/04/2020;>50-60%;1;721944;55%
Santo André;SP;3547809;18/04/2020;>50-60%;1;718773;54%
Ribeirão Preto;SP;3543402;18/04/2020;>40-50%;1;703293;48%
Osasco;SP;3534401;18/04/2020;>50-60%;1;698418;55%
Sorocaba;SP;3552205;18/04/2020;>50-60%;1;679378;51%
Mauá;SP;3529401;18/04/2020;>50-60%;1;472912;57%
São José do Rio Preto;SP;3549805;18/04/2020;>40-50%;1;460671;48%
Mogi das Cruzes;SP;3530607;18/04/2020;>50-60%;1;445842;57%
Santos;SP;3548500;18/04/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;18/04/2020;>50-60%;1;423884;58%
Jundiaí;SP;3525904;18/04/2020;>50-60%;1;418962;51%
Piracicaba;SP;3538709;18/04/2020;>50-60%;1;404142;51%
Carapicuíba;SP;3510609;18/04/2020;>50-60%;1;400927;53%
Estado de São Paulo;;;18/04/2020;>50-60%;1;;54%
Americana;SP;3501608;18/04/2020;>40-50%;1;239597;49%
Amparo;SP;3501905;18/04/2020;>50-60%;1;72195;57%
Araçatuba;SP;3502804;18/04/2020;>40-50%;1;197016;46%
Araraquara;SP;3503208;18/04/2020;>40-50%;1;236072;47%
Araras;SP;3503307;18/04/2020;>50-60%;1;134236;52%
Arujá;SP;3503901;18/04/2020;>50-60%;1;89824;58%
Assis;SP;3504008;18/04/2020;>50-60%;1;104386;51%
Atibaia;SP;3504107;18/04/2020;>50-60%;1;142761;55%
Avaré;SP;3504503;18/04/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;18/04/2020;>50-60%;1;122098;51%
Barueri;SP;3505708;18/04/2020;>40-50%;1;274182;48%
Bauru;SP;3506003;18/04/2020;>40-50%;1;376818;47%
Bebedouro;SP;3506102;18/04/2020;>60-70%;1;77496;63%
Birigui;SP;3506508;18/04/2020;>50-60%;1;123638;52%
Botucatu;SP;3507506;18/04/2020;>50-60%;1;146497;54%
Bragança Paulista;SP;3507605;18/04/2020;>50-60%;1;168668;52%
Caçapava;SP;3508504;18/04/2020;>60-70%;1;94263;61%
Caieiras;SP;3509007;18/04/2020;>50-60%;1;101470;59%
Cajamar;SP;3509205;18/04/2020;>50-60%;1;76801;60%
