Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;23/04/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;23/04/2020;>50-60%;1;1379182;50%
Campinas;SP;3509502;23/04/2020;>40-50%;1;1204073;46%
São Bernardo do Campo;SP;3548708;23/04/2020;>40-50%;1;838936;49%
São José dos Campos;SP;3549904;23/04/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;23/04/2020;>40-50%;1;718773;50%
Ribeirão Preto;SP;3543402;23/04/2020;>40-50%;1;703293;41%
Osasco;SP;3534401;23/04/2020;>50-60%;1;698418;51%
Sorocaba;SP;3552205;23/04/2020;>40-50%;1;679378;46%
Mauá;SP;3529401;23/04/2020;>50-60%;1;472912;52%
São José do Rio Preto;SP;3549805;23/04/2020;>40-50%;1;460671;41%
Mogi das Cruzes;SP;3530607;23/04/2020;>50-60%;1;445842;52%
Santos;SP;3548500;23/04/2020;>40-50%;1;433311;48%
Diadema;SP;3513801;23/04/2020;>50-60%;1;423884;51%
Jundiaí;SP;3525904;23/04/2020;>40-50%;1;418962;45%
Piracicaba;SP;3538709;23/04/2020;>40-50%;1;404142;45%
Carapicuíba;SP;3510609;23/04/2020;>50-60%;1;400927;51%
Estado de São Paulo;;;23/04/2020;>40-50%;1;;48%
Americana;SP;3501608;23/04/2020;>40-50%;1;239597;45%
Amparo;SP;3501905;23/04/2020;>50-60%;1;72195;51%
Araçatuba;SP;3502804;23/04/2020;>40-50%;1;197016;40%
Araraquara;SP;3503208;23/04/2020;>40-50%;1;236072;42%
Araras;SP;3503307;23/04/2020;>40-50%;1;134236;48%
Arujá;SP;3503901;23/04/2020;>50-60%;1;89824;52%
Assis;SP;3504008;23/04/2020;>40-50%;1;104386;46%
Atibaia;SP;3504107;23/04/2020;>40-50%;1;142761;48%
Avaré;SP;3504503;23/04/2020;>40-50%;1;90655;48%
Barretos;SP;3505500;23/04/2020;>40-50%;1;122098;46%
Barueri;SP;3505708;23/04/2020;>40-50%;1;274182;43%
Bauru;SP;3506003;23/04/2020;>40-50%;1;376818;42%
Bebedouro;SP;3506102;23/04/2020;>50-60%;1;77496;55%
Birigui;SP;3506508;23/04/2020;>40-50%;1;123638;49%
Botucatu;SP;3507506;23/04/2020;>40-50%;1;146497;48%
Bragança Paulista;SP;3507605;23/04/2020;>40-50%;1;168668;47%
Caçapava;SP;3508504;23/04/2020;>50-60%;1;94263;56%
Caieiras;SP;3509007;23/04/2020;>50-60%;1;101470;53%
Cajamar;SP;3509205;23/04/2020;>50-60%;1;76801;56%
Campo Limpo Paulista;SP;3509601;23/04/2020;>50-60%;1;84650;52%
Caraguatatuba;SP;3510500;23/04/2020;>50-60%;1;121532;57%
Catanduva;SP;3511102;23/04/2020;Até 40%;1;121862;39%
Cotia;SP;3513009;23/04/2020;>50-60%;1;249210;52%
Cruzeiro;SP;3513405;23/04/2020;>60-70%;1;82238;60%
Cubatão;SP;3513504;23/04/2020;>40-50%;1;130705;49%
Embu das Artes;SP;3515004;23/04/2020;>40-50%;1;273726;48%
Ferraz de Vasconcelos;SP;3515707;23/04/2020;>40-50%;1;194276;50%
Franca;SP;3516200;23/04/2020;>40-50%;1;353187;42%
Francisco Morato;SP;3516309;23/04/2020;>40-50%;1;175844;49%
Franco da Rocha;SP;3516408;23/04/2020;>50-60%;1;154489;52%
Guaratinguetá;SP;3518404;23/04/2020;>50-60%;1;121798;54%
Guarujá;SP;3518701;23/04/2020;>50-60%;1;320459;53%
Hortolândia;SP;3519071;23/04/2020;>40-50%;1;230851;50%
Ibiúna;SP;3519709;23/04/2020;>50-60%;1;78878;57%
Indaiatuba;SP;3520509;23/04/2020;>40-50%;1;251627;49%
Itanhaém;SP;3522109;23/04/2020;>50-60%;1;101816;54%
Itapecerica da Serra;SP;3522208;23/04/2020;>50-60%;1;175693;54%
Itapetininga;SP;3522307;23/04/2020;>40-50%;1;163901;49%
Itapeva;SP;3522406;23/04/2020;>40-50%;1;94354;46%
Itapevi;SP;3522505;23/04/2020;>40-50%;1;237700;46%
Itapira;SP;3522604;23/04/2020;>50-60%;1;74773;50%
Itaquaquecetuba;SP;3523107;23/04/2020;>50-60%;1;370821;54%
Itatiba;SP;3523404;23/04/2020;>40-50%;1;120858;44%
Itu;SP;3523909;23/04/2020;>40-50%;1;173939;46%
Jaboticabal;SP;3524303;23/04/2020;>40-50%;1;77263;45%
Jacareí;SP;3524402;23/04/2020;>50-60%;1;233662;51%
Jandira;SP;3525003;23/04/2020;>40-50%;1;124937;48%
Jaú;SP;3525300;23/04/2020;>40-50%;1;150252;47%
Leme;SP;3526704;23/04/2020;>40-50%;1;103391;48%
Limeira;SP;3526902;23/04/2020;Até 40%;1;306114;39%
Lins;SP;3527108;23/04/2020;>40-50%;1;78013;47%
Lorena;SP;3527207;23/04/2020;>60-70%;1;88706;61%
Mairiporã;SP;3528502;23/04/2020;>50-60%;1;100179;56%
Marília;SP;3529005;23/04/2020;>40-50%;1;238882;45%
Matão;SP;3529302;23/04/2020;>40-50%;1;83170;43%
Mogi Guaçu;SP;3530706;23/04/2020;>40-50%;1;151888;46%
Mogi Mirim;SP;3530805;23/04/2020;>40-50%;1;93189;49%
