Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;05/05/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;05/05/2020;>40-50%;1;1379182;47%
Campinas;SP;3509502;05/05/2020;>40-50%;1;1204073;45%
São Bernardo do Campo;SP;3548708;05/05/2020;>40-50%;1;838936;47%
São José dos Campos;SP;3549904;05/05/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;05/05/2020;>40-50%;1;718773;48%
Ribeirão Preto;SP;3543402;05/05/2020;Até 40%;1;703293;40%
Osasco;SP;3534401;05/05/2020;>40-50%;1;698418;50%
Sorocaba;SP;3552205;05/05/2020;>40-50%;1;679378;44%
Mauá;SP;3529401;05/05/2020;>40-50%;1;472912;48%
São José do Rio Preto;SP;3549805;05/05/2020;Até 40%;1;460671;39%
Mogi das Cruzes;SP;3530607;05/05/2020;>50-60%;1;445842;50%
Santos;SP;3548500;05/05/2020;>40-50%;1;433311;46%
Diadema;SP;3513801;05/05/2020;>50-60%;1;423884;50%
Jundiaí;SP;3525904;05/05/2020;>40-50%;1;418962;44%
Piracicaba;SP;3538709;05/05/2020;>40-50%;1;404142;44%
Carapicuíba;SP;3510609;05/05/2020;>50-60%;1;400927;51%
Americana;SP;3501608;05/05/2020;>40-50%;1;239597;44%
Amparo;SP;3501905;05/05/2020;>40-50%;1;72195;50%
Araçatuba;SP;3502804;05/05/2020;Até 40%;1;197016;39%
Araraquara;SP;3503208;05/05/2020;>40-50%;1;236072;41%
Araras;SP;3503307;05/05/2020;>40-50%;1;134236;46%
Arujá;SP;3503901;05/05/2020;>50-60%;1;89824;51%
Assis;SP;3504008;05/05/2020;>40-50%;1;104386;44%
Atibaia;SP;3504107;05/05/2020;>40-50%;1;142761;47%
Avaré;SP;3504503;05/05/2020;>40-50%;1;90655;48%
Barretos;SP;3505500;05/05/2020;>40-50%;1;122098;45%
Barueri;SP;3505708;05/05/2020;>40-50%;1;274182;43%
Bauru;SP;3506003;05/05/2020;>40-50%;1;376818;41%
Bebedouro;SP;3506102;05/05/2020;>50-60%;1;77496;53%
Birigui;SP;3506508;05/05/2020;>40-50%;1;123638;47%
Botucatu;SP;3507506;05/05/2020;>40-50%;1;146497;47%
Bragança Paulista;SP;3507605;05/05/2020;>40-50%;1;168668;44%
Caçapava;SP;3508504;05/05/2020;>50-60%;1;94263;55%
Caieiras;SP;3509007;05/05/2020;>50-60%;1;101470;53%
Cajamar;SP;3509205;05/05/2020;>50-60%;1;76801;54%
Campo Limpo Paulista;SP;3509601;05/05/2020;>50-60%;1;84650;51%
Caraguatatuba;SP;3510500;05/05/2020;>50-60%;1;121532;55%
Catanduva;SP;3511102;05/05/2020;Até 40%;1;121862;39%
Cotia;SP;3513009;05/05/2020;>50-60%;1;249210;51%
Cruzeiro;SP;3513405;05/05/2020;>50-60%;1;82238;58%
Cubatão;SP;3513504;05/05/2020;>40-50%;1;130705;49%
Embu das Artes;SP;3515004;05/05/2020;>40-50%;1;273726;49%
Ferraz de Vasconcelos;SP;3515707;05/05/2020;>40-50%;1;194276;48%
Franca;SP;3516200;05/05/2020;>40-50%;1;353187;44%
Francisco Morato;SP;3516309;05/05/2020;>40-50%;1;175844;48%
Franco da Rocha;SP;3516408;05/05/2020;>50-60%;1;154489;51%
Guaratinguetá;SP;3518404;05/05/2020;>50-60%;1;121798;51%
Guarujá;SP;3518701;05/05/2020;>50-60%;1;320459;52%
Hortolândia;SP;3519071;05/05/2020;>40-50%;1;230851;48%
Ibiúna;SP;3519709;05/05/2020;>50-60%;1;78878;53%
Indaiatuba;SP;3520509;05/05/2020;>40-50%;1;251627;48%
Itanhaém;SP;3522109;05/05/2020;>50-60%;1;101816;51%
Itapecerica da Serra;SP;3522208;05/05/2020;>50-60%;1;175693;54%
Itapetininga;SP;3522307;05/05/2020;>40-50%;1;163901;48%
Itapeva;SP;3522406;05/05/2020;>40-50%;1;94354;45%
Itapevi;SP;3522505;05/05/2020;>40-50%;1;237700;50%
Itapira;SP;3522604;05/05/2020;>40-50%;1;74773;48%
Itaquaquecetuba;SP;3523107;05/05/2020;>50-60%;1;370821;52%
Itatiba;SP;3523404;05/05/2020;>40-50%;1;120858;44%
Itu;SP;3523909;05/05/2020;>40-50%;1;173939;45%
Jaboticabal;SP;3524303;05/05/2020;>40-50%;1;77263;45%
Jacareí;SP;3524402;05/05/2020;>40-50%;1;233662;50%
Jandira;SP;3525003;05/05/2020;>40-50%;1;124937;49%
Jaú;SP;3525300;05/05/2020;>40-50%;1;150252;47%
Leme;SP;3526704;05/05/2020;>40-50%;1;103391;48%
Limeira;SP;3526902;05/05/2020;Até 40%;1;306114;38%
Lins;SP;3527108;05/05/2020;>40-50%;1;78013;45%
Lorena;SP;3527207;05/05/2020;>50-60%;1;88706;60%
Mairiporã;SP;3528502;05/05/2020;>50-60%;1;100179;55%
Marília;SP;3529005;05/05/2020;>40-50%;1;238882;44%
Matão;SP;3529302;05/05/2020;>40-50%;1;83170;40%
Mogi Guaçu;SP;3530706;05/05/2020;>40-50%;1;151888;46%
Mogi Mirim;SP;3530805;05/05/2020;>40-50%;1;93189;47%
Ourinhos;SP;3534708;05/05/2020;>40-50%;1;113542;50%
Paulínia;SP;3536505;05/05/2020;>40-50%;1;109424;46%
Pindamonhangaba;SP;3538006;05/05/2020;>50-60%;1;168328;54%
Pirassununga;SP;3539301;05/05/2020;>50-60%;1;76409;52%
Poá;SP;3539806;05/05/2020;>50-60%;1;117452;54%
Praia Grande;SP;3541000;05/05/2020;>40-50%;1;325073;48%
Presidente Prudente;SP;3541406;05/05/2020;Até 40%;1;228743;40%
Ribeirão Pires;SP;3543303;05/05/2020;>50-60%;1;123393;57%
Rio Claro;SP;3543907;05/05/2020;>40-50%;1;206424;48%
Salto;SP;3545209;05/05/2020;>40-50%;1;118663;47%
Santa Bárbara d'Oeste;SP;3545803;05/05/2020;>40-50%;1;193475;42%
Santana de Parnaíba;SP;3547304;05/05/2020;>50-60%;1;139447;51%
São Caetano do Sul;SP;3548807;05/05/2020;>40-50%;1;161127;47%
São Carlos;SP;3548906;05/05/2020;>40-50%;1;251983;48%
São João da Boa Vista;SP;3549102;05/05/2020;>40-50%;1;91211;49%
São Roque;SP;3550605;05/05/2020;>50-60%;1;91016;51%
São Sebastião;SP;3550704;05/05/2020;>60-70%;1;88980;63%
São Vicente;SP;3551009;05/05/2020;>50-60%;1;365798;52%
Sertãozinho;SP;3551702;05/05/2020;>40-50%;1;125815;49%
Sumaré;SP;3552403;05/05/2020;>40-50%;1;282441;42%
Suzano;SP;3552502;05/05/2020;>50-60%;1;297637;50%
Taboão da Serra;SP;3552809;05/05/2020;>40-50%;1;289664;47%
Tatuí;SP;3554003;05/05/2020;>40-50%;1;121766;49%
Taubaté;SP;3554102;05/05/2020;>40-50%;1;314924;47%
Ubatuba;SP;3555406;05/05/2020;>60-70%;1;90799;61%
Valinhos;SP;3556206;05/05/2020;>40-50%;1;129193;47%
Várzea Paulista;SP;3556503;05/05/2020;>40-50%;1;121838;46%
Vinhedo;SP;3556701;05/05/2020;>50-60%;1;78728;50%
Votorantim;SP;3557006;05/05/2020;>40-50%;1;122480;48%
Votuporanga;SP;3557105;05/05/2020;>50-60%;1;94547;52%
