Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;28/03/2020;>50-60%;1;12252023;56%
Guarulhos;SP;3518800;28/03/2020;>50-60%;1;1379182;57%
Campinas;SP;3509502;28/03/2020;>50-60%;1;1204073;57%
São Bernardo do Campo;SP;3548708;28/03/2020;>50-60%;1;838936;55%
São José dos Campos;SP;3549904;28/03/2020;>50-60%;1;721944;57%
Santo André;SP;3547809;28/03/2020;>50-60%;1;718773;56%
Ribeirão Preto;SP;3543402;28/03/2020;>50-60%;1;703293;54%
Osasco;SP;3534401;28/03/2020;>50-60%;1;698418;56%
Sorocaba;SP;3552205;28/03/2020;>50-60%;1;679378;54%
Mauá;SP;3529401;28/03/2020;>50-60%;1;472912;57%
São José do Rio Preto;SP;3549805;28/03/2020;>50-60%;1;460671;52%
Mogi das Cruzes;SP;3530607;28/03/2020;>50-60%;1;445842;57%
Santos;SP;3548500;28/03/2020;>50-60%;1;433311;55%
Diadema;SP;3513801;28/03/2020;>50-60%;1;423884;59%
Jundiaí;SP;3525904;28/03/2020;>50-60%;1;418962;54%
Piracicaba;SP;3538709;28/03/2020;>50-60%;1;404142;53%
Carapicuíba;SP;3510609;28/03/2020;>50-60%;1;400927;56%
Bauru;SP;3506003;28/03/2020;>50-60%;1;376818;51%
Estado de São Paulo;;;28/03/2020;>50-60%;1;;56%
Americana;SP;3501608;28/03/2020;>50-60%;1;239597;56%
Amparo;SP;3501905;28/03/2020;>50-60%;1;72195;56%
Araçatuba;SP;3502804;28/03/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;28/03/2020;>50-60%;1;236072;50%
Araras;SP;3503307;28/03/2020;>50-60%;1;134236;55%
Arujá;SP;3503901;28/03/2020;>50-60%;1;89824;59%
Assis;SP;3504008;28/03/2020;>50-60%;1;104386;54%
Atibaia;SP;3504107;28/03/2020;>50-60%;1;142761;58%
Avaré;SP;3504503;28/03/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;28/03/2020;>50-60%;1;122098;55%
Barueri;SP;3505708;28/03/2020;>50-60%;1;274182;51%
Bebedouro;SP;3506102;28/03/2020;>60-70%;1;77496;65%
Birigui;SP;3506508;28/03/2020;>50-60%;1;123638;52%
Botucatu;SP;3507506;28/03/2020;>50-60%;1;146497;54%
Bragança Paulista;SP;3507605;28/03/2020;>50-60%;1;168668;53%
Caçapava;SP;3508504;28/03/2020;>60-70%;1;94263;62%
Caieiras;SP;3509007;28/03/2020;>50-60%;1;101470;57%
Cajamar;SP;3509205;28/03/2020;>50-60%;1;76801;59%
Campo Limpo Paulista;SP;3509601;28/03/2020;>50-60%;1;84650;58%
Caraguatatuba;SP;3510500;28/03/2020;>60-70%;1;121532;63%
Catanduva;SP;3511102;28/03/2020;>40-50%;1;121862;49%
