Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;14/04/2020;>40-50%;1;12252023;50%
Guarulhos;SP;3518800;14/04/2020;>50-60%;1;1379182;52%
Campinas;SP;3509502;14/04/2020;>40-50%;1;1204073;48%
São Bernardo do Campo;SP;3548708;14/04/2020;>40-50%;1;838936;50%
São José dos Campos;SP;3549904;14/04/2020;>50-60%;1;721944;50%
Santo André;SP;3547809;14/04/2020;>50-60%;1;718773;51%
Ribeirão Preto;SP;3543402;14/04/2020;>40-50%;1;703293;44%
Osasco;SP;3534401;14/04/2020;>50-60%;1;698418;52%
Sorocaba;SP;3552205;14/04/2020;>40-50%;1;679378;49%
Mauá;SP;3529401;14/04/2020;>50-60%;1;472912;53%
São José do Rio Preto;SP;3549805;14/04/2020;>40-50%;1;460671;45%
Mogi das Cruzes;SP;3530607;14/04/2020;>50-60%;1;445842;54%
Santos;SP;3548500;14/04/2020;>40-50%;1;433311;48%
Diadema;SP;3513801;14/04/2020;>50-60%;1;423884;54%
Jundiaí;SP;3525904;14/04/2020;>40-50%;1;418962;48%
Piracicaba;SP;3538709;14/04/2020;>40-50%;1;404142;48%
Carapicuíba;SP;3510609;14/04/2020;>50-60%;1;400927;53%
Estado de São Paulo;;;14/04/2020;>40-50%;1;;50%
Americana;SP;3501608;14/04/2020;>40-50%;1;239597;48%
Amparo;SP;3501905;14/04/2020;>50-60%;1;72195;52%
Araçatuba;SP;3502804;14/04/2020;>40-50%;1;197016;44%
Araraquara;SP;3503208;14/04/2020;>40-50%;1;236072;46%
Araras;SP;3503307;14/04/2020;>50-60%;1;134236;51%
Arujá;SP;3503901;14/04/2020;>50-60%;1;89824;55%
Assis;SP;3504008;14/04/2020;>40-50%;1;104386;48%
Atibaia;SP;3504107;14/04/2020;>50-60%;1;142761;52%
Avaré;SP;3504503;14/04/2020;>50-60%;1;90655;53%
Barretos;SP;3505500;14/04/2020;>40-50%;1;122098;48%
Barueri;SP;3505708;14/04/2020;>40-50%;1;274182;45%
Bauru;SP;3506003;14/04/2020;>40-50%;1;376818;46%
Bebedouro;SP;3506102;14/04/2020;>50-60%;1;77496;59%
Birigui;SP;3506508;14/04/2020;>50-60%;1;123638;52%
Botucatu;SP;3507506;14/04/2020;>50-60%;1;146497;60%
Bragança Paulista;SP;3507605;14/04/2020;>40-50%;1;168668;48%
Caçapava;SP;3508504;14/04/2020;>60-70%;1;94263;61%
Caieiras;SP;3509007;14/04/2020;>50-60%;1;101470;55%
Cajamar;SP;3509205;14/04/2020;>50-60%;1;76801;58%
Campo Limpo Paulista;SP;3509601;14/04/2020;>50-60%;1;84650;55%
Caraguatatuba;SP;3510500;14/04/2020;>50-60%;1;121532;57%
Catanduva;SP;3511102;14/04/2020;>40-50%;1;121862;42%
Cotia;SP;3513009;14/04/2020;>50-60%;1;249210;53%
Cruzeiro;SP;3513405;14/04/2020;>60-70%;1;82238;61%
Cubatão;SP;3513504;14/04/2020;>50-60%;1;130705;50%
Embu das Artes;SP;3515004;14/04/2020;>40-50%;1;273726;48%
Ferraz de Vasconcelos;SP;3515707;14/04/2020;>50-60%;1;194276;53%
Franca;SP;3516200;14/04/2020;>40-50%;1;353187;45%
Francisco Morato;SP;3516309;14/04/2020;>50-60%;1;175844;50%
Franco da Rocha;SP;3516408;14/04/2020;>50-60%;1;154489;54%
Guaratinguetá;SP;3518404;14/04/2020;>50-60%;1;121798;53%
Guarujá;SP;3518701;14/04/2020;>50-60%;1;320459;54%
Hortolândia;SP;3519071;14/04/2020;>50-60%;1;230851;51%
Ibiúna;SP;3519709;14/04/2020;>50-60%;1;78878;59%
Indaiatuba;SP;3520509;14/04/2020;>40-50%;1;251627;50%
Itanhaém;SP;3522109;14/04/2020;>50-60%;1;101816;58%
Itapecerica da Serra;SP;3522208;14/04/2020;>50-60%;1;175693;56%
Itapetininga;SP;3522307;14/04/2020;>50-60%;1;163901;52%
Itapeva;SP;3522406;14/04/2020;>40-50%;1;94354;49%
Itapevi;SP;3522505;14/04/2020;>50-60%;1;237700;53%
Itapira;SP;3522604;14/04/2020;>50-60%;1;74773;53%
Itaquaquecetuba;SP;3523107;14/04/2020;>50-60%;1;370821;56%
Itatiba;SP;3523404;14/04/2020;>40-50%;1;120858;47%
Itu;SP;3523909;14/04/2020;>40-50%;1;173939;49%
Jaboticabal;SP;3524303;14/04/2020;>40-50%;1;77263;44%
Jacareí;SP;3524402;14/04/2020;>50-60%;1;233662;53%
Jandira;SP;3525003;14/04/2020;>50-60%;1;124937;52%
Jaú;SP;3525300;14/04/2020;>50-60%;1;150252;52%
Leme;SP;3526704;14/04/2020;>50-60%;1;103391;52%
Limeira;SP;3526902;14/04/2020;>40-50%;1;306114;42%
Lins;SP;3527108;14/04/2020;>50-60%;1;78013;51%
Lorena;SP;3527207;14/04/2020;>60-70%;1;88706;62%
Mairiporã;SP;3528502;14/04/2020;>50-60%;1;100179;58%
Marília;SP;3529005;14/04/2020;>40-50%;1;238882;48%
Matão;SP;3529302;14/04/2020;>40-50%;1;83170;46%
Mogi Guaçu;SP;3530706;14/04/2020;>40-50%;1;151888;50%
Mogi Mirim;SP;3530805;14/04/2020;>50-60%;1;93189;50%
Ourinhos;SP;3534708;14/04/2020;>50-60%;1;113542;52%
Paulínia;SP;3536505;14/04/2020;>40-50%;1;109424;50%
Pindamonhangaba;SP;3538006;14/04/2020;>50-60%;1;168328;55%
Pirassununga;SP;3539301;14/04/2020;>50-60%;1;76409;56%
Poá;SP;3539806;14/04/2020;>50-60%;1;117452;57%
Praia Grande;SP;3541000;14/04/2020;>50-60%;1;325073;52%
Presidente Prudente;SP;3541406;14/04/2020;>40-50%;1;228743;44%
Ribeirão Pires;SP;3543303;14/04/2020;>50-60%;1;123393;59%
Rio Claro;SP;3543907;14/04/2020;>50-60%;1;206424;53%
Salto;SP;3545209;14/04/2020;>50-60%;1;118663;51%
Santa Bárbara d'Oeste;SP;3545803;14/04/2020;>40-50%;1;193475;46%
Santana de Parnaíba;SP;3547304;14/04/2020;>50-60%;1;139447;53%
São Caetano do Sul;SP;3548807;14/04/2020;>40-50%;1;161127;49%
São Carlos;SP;3548906;14/04/2020;>50-60%;1;251983;53%
São João da Boa Vista;SP;3549102;14/04/2020;>50-60%;1;91211;55%
São Roque;SP;3550605;14/04/2020;>50-60%;1;91016;56%
São Sebastião;SP;3550704;14/04/2020;>60-70%;1;88980;66%
São Vicente;SP;3551009;14/04/2020;>50-60%;1;365798;58%
Sertãozinho;SP;3551702;14/04/2020;>50-60%;1;125815;52%
Sumaré;SP;3552403;14/04/2020;>40-50%;1;282441;45%
Suzano;SP;3552502;14/04/2020;>50-60%;1;297637;54%
Taboão da Serra;SP;3552809;14/04/2020;>40-50%;1;289664;49%
Tatuí;SP;3554003;14/04/2020;>50-60%;1;121766;53%
Taubaté;SP;3554102;14/04/2020;>40-50%;1;314924;50%
Ubatuba;SP;3555406;14/04/2020;>60-70%;1;90799;64%
Valinhos;SP;3556206;14/04/2020;>50-60%;1;129193;51%
Várzea Paulista;SP;3556503;14/04/2020;>40-50%;1;121838;45%
Vinhedo;SP;3556701;14/04/2020;>50-60%;1;78728;53%
Votorantim;SP;3557006;14/04/2020;>50-60%;1;122480;52%
Votuporanga;SP;3557105;14/04/2020;>50-60%;1;94547;57%
