Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;21/04/2020;>50-60%;1;12252023;57%
Guarulhos;SP;3518800;21/04/2020;>60-70%;1;1379182;61%
Campinas;SP;3509502;21/04/2020;>50-60%;1;1204073;56%
São Bernardo do Campo;SP;3548708;21/04/2020;>50-60%;1;838936;58%
São José dos Campos;SP;3549904;21/04/2020;>50-60%;1;721944;57%
Santo André;SP;3547809;21/04/2020;>50-60%;1;718773;57%
Ribeirão Preto;SP;3543402;21/04/2020;>50-60%;1;703293;53%
Osasco;SP;3534401;21/04/2020;>50-60%;1;698418;60%
Sorocaba;SP;3552205;21/04/2020;>50-60%;1;679378;55%
Mauá;SP;3529401;21/04/2020;>50-60%;1;472912;60%
São José do Rio Preto;SP;3549805;21/04/2020;>50-60%;1;460671;53%
Mogi das Cruzes;SP;3530607;21/04/2020;>60-70%;1;445842;61%
Santos;SP;3548500;21/04/2020;>50-60%;1;433311;57%
Diadema;SP;3513801;21/04/2020;>60-70%;1;423884;61%
Jundiaí;SP;3525904;21/04/2020;>50-60%;1;418962;55%
Piracicaba;SP;3538709;21/04/2020;>50-60%;1;404142;55%
Carapicuíba;SP;3510609;21/04/2020;>60-70%;1;400927;61%
Estado de São Paulo;;;21/04/2020;>50-60%;1;;57%
Americana;SP;3501608;21/04/2020;>50-60%;1;239597;55%
Amparo;SP;3501905;21/04/2020;>50-60%;1;72195;60%
Araçatuba;SP;3502804;21/04/2020;>50-60%;1;197016;52%
Araraquara;SP;3503208;21/04/2020;>50-60%;1;236072;53%
Araras;SP;3503307;21/04/2020;>50-60%;1;134236;59%
Arujá;SP;3503901;21/04/2020;>60-70%;1;89824;62%
Assis;SP;3504008;21/04/2020;>50-60%;1;104386;57%
Atibaia;SP;3504107;21/04/2020;>50-60%;1;142761;59%
Avaré;SP;3504503;21/04/2020;>50-60%;1;90655;59%
Barretos;SP;3505500;21/04/2020;>50-60%;1;122098;57%
Barueri;SP;3505708;21/04/2020;>50-60%;1;274182;53%
Bauru;SP;3506003;21/04/2020;>50-60%;1;376818;53%
Bebedouro;SP;3506102;21/04/2020;>60-70%;1;77496;67%
Birigui;SP;3506508;21/04/2020;>50-60%;1;123638;58%
Botucatu;SP;3507506;21/04/2020;>50-60%;1;146497;57%
Bragança Paulista;SP;3507605;21/04/2020;>50-60%;1;168668;55%
Caçapava;SP;3508504;21/04/2020;>60-70%;1;94263;64%
Caieiras;SP;3509007;21/04/2020;>60-70%;1;101470;65%
Cajamar;SP;3509205;21/04/2020;>60-70%;1;76801;66%
Campo Limpo Paulista;SP;3509601;21/04/2020;>60-70%;1;84650;61%
Caraguatatuba;SP;3510500;21/04/2020;>60-70%;1;121532;62%
Catanduva;SP;3511102;21/04/2020;>50-60%;1;121862;51%
Cotia;SP;3513009;21/04/2020;>60-70%;1;249210;60%
Cruzeiro;SP;3513405;21/04/2020;>60-70%;1;82238;67%
Cubatão;SP;3513504;21/04/2020;>50-60%;1;130705;59%
Embu das Artes;SP;3515004;21/04/2020;>50-60%;1;273726;60%
Ferraz de Vasconcelos;SP;3515707;21/04/2020;>50-60%;1;194276;59%
Franca;SP;3516200;21/04/2020;>50-60%;1;353187;53%
Francisco Morato;SP;3516309;21/04/2020;>50-60%;1;175844;57%
Franco da Rocha;SP;3516408;21/04/2020;>60-70%;1;154489;60%
Guaratinguetá;SP;3518404;21/04/2020;>60-70%;1;121798;60%
Guarujá;SP;3518701;21/04/2020;>50-60%;1;320459;60%
Hortolândia;SP;3519071;21/04/2020;>50-60%;1;230851;59%
Ibiúna;SP;3519709;21/04/2020;>60-70%;1;78878;66%
Indaiatuba;SP;3520509;21/04/2020;>50-60%;1;251627;58%
Itanhaém;SP;3522109;21/04/2020;>60-70%;1;101816;62%
Itapecerica da Serra;SP;3522208;21/04/2020;>60-70%;1;175693;64%
Itapetininga;SP;3522307;21/04/2020;>50-60%;1;163901;57%
Itapeva;SP;3522406;21/04/2020;>50-60%;1;94354;55%
Itapevi;SP;3522505;21/04/2020;>50-60%;1;237700;56%
Itapira;SP;3522604;21/04/2020;>60-70%;1;74773;60%
Itaquaquecetuba;SP;3523107;21/04/2020;>60-70%;1;370821;63%
Itatiba;SP;3523404;21/04/2020;>50-60%;1;120858;53%
Itu;SP;3523909;21/04/2020;>50-60%;1;173939;57%
Jaboticabal;SP;3524303;21/04/2020;>50-60%;1;77263;58%
Jacareí;SP;3524402;21/04/2020;>60-70%;1;233662;60%
Jandira;SP;3525003;21/04/2020;>50-60%;1;124937;57%
Jaú;SP;3525300;21/04/2020;>50-60%;1;150252;58%
Leme;SP;3526704;21/04/2020;>50-60%;1;103391;59%
Limeira;SP;3526902;21/04/2020;>50-60%;1;306114;50%
Lins;SP;3527108;21/04/2020;>50-60%;1;78013;57%
Lorena;SP;3527207;21/04/2020;>60-70%;1;88706;67%
Mairiporã;SP;3528502;21/04/2020;>60-70%;1;100179;65%
Marília;SP;3529005;21/04/2020;>50-60%;1;238882;53%
Matão;SP;3529302;21/04/2020;>50-60%;1;83170;53%
Mogi Guaçu;SP;3530706;21/04/2020;>50-60%;1;151888;57%
Mogi Mirim;SP;3530805;21/04/2020;>50-60%;1;93189;58%
Ourinhos;SP;3534708;21/04/2020;>50-60%;1;113542;59%
Paulínia;SP;3536505;21/04/2020;>50-60%;1;109424;58%
Pindamonhangaba;SP;3538006;21/04/2020;>60-70%;1;168328;63%
Pirassununga;SP;3539301;21/04/2020;>60-70%;1;76409;62%
Poá;SP;3539806;21/04/2020;>60-70%;1;117452;65%
Praia Grande;SP;3541000;21/04/2020;>50-60%;1;325073;58%
Presidente Prudente;SP;3541406;21/04/2020;>50-60%;1;228743;53%
Ribeirão Pires;SP;3543303;21/04/2020;>60-70%;1;123393;66%
Rio Claro;SP;3543907;21/04/2020;>60-70%;1;206424;61%
Salto;SP;3545209;21/04/2020;>50-60%;1;118663;57%
Santa Bárbara d'Oeste;SP;3545803;21/04/2020;>50-60%;1;193475;54%
Santana de Parnaíba;SP;3547304;21/04/2020;>50-60%;1;139447;59%
São Caetano do Sul;SP;3548807;21/04/2020;>50-60%;1;161127;56%
São Carlos;SP;3548906;21/04/2020;>50-60%;1;251983;59%
São João da Boa Vista;SP;3549102;21/04/2020;>60-70%;1;91211;62%
São Roque;SP;3550605;21/04/2020;>60-70%;1;91016;61%
São Sebastião;SP;3550704;21/04/2020;>60-70%;1;88980;65%
São Vicente;SP;3551009;21/04/2020;>60-70%;1;365798;66%
Sertãozinho;SP;3551702;21/04/2020;>60-70%;1;125815;63%
Sumaré;SP;3552403;21/04/2020;>50-60%;1;282441;54%
