Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;07/05/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;07/05/2020;>40-50%;1;1379182;49%
Campinas;SP;3509502;07/05/2020;>40-50%;1;1204073;44%
São Bernardo do Campo;SP;3548708;07/05/2020;>40-50%;1;838936;48%
São José dos Campos;SP;3549904;07/05/2020;>40-50%;1;721944;49%
Santo André;SP;3547809;07/05/2020;>40-50%;1;718773;47%
Ribeirão Preto;SP;3543402;07/05/2020;Até 40%;1;703293;39%
Osasco;SP;3534401;07/05/2020;>40-50%;1;698418;50%
Sorocaba;SP;3552205;07/05/2020;>40-50%;1;679378;44%
Mauá;SP;3529401;07/05/2020;>40-50%;1;472912;49%
São José do Rio Preto;SP;3549805;07/05/2020;Até 40%;1;460671;39%
Mogi das Cruzes;SP;3530607;07/05/2020;>50-60%;1;445842;51%
Santos;SP;3548500;07/05/2020;>40-50%;1;433311;47%
Diadema;SP;3513801;07/05/2020;>50-60%;1;423884;51%
Jundiaí;SP;3525904;07/05/2020;>40-50%;1;418962;44%
Piracicaba;SP;3538709;07/05/2020;>40-50%;1;404142;41%
Carapicuíba;SP;3510609;07/05/2020;>50-60%;1;400927;51%
Americana;SP;3501608;07/05/2020;>40-50%;1;239597;43%
Amparo;SP;3501905;07/05/2020;>40-50%;1;72195;50%
Araçatuba;SP;3502804;07/05/2020;Até 40%;1;197016;39%
Araraquara;SP;3503208;07/05/2020;Até 40%;1;236072;40%
Araras;SP;3503307;07/05/2020;>40-50%;1;134236;45%
Arujá;SP;3503901;07/05/2020;>50-60%;1;89824;52%
Assis;SP;3504008;07/05/2020;>40-50%;1;104386;45%
Atibaia;SP;3504107;07/05/2020;>40-50%;1;142761;48%
Avaré;SP;3504503;07/05/2020;>40-50%;1;90655;48%
Barretos;SP;3505500;07/05/2020;>40-50%;1;122098;43%
Barueri;SP;3505708;07/05/2020;>40-50%;1;274182;43%
Bauru;SP;3506003;07/05/2020;Até 40%;1;376818;39%
Bebedouro;SP;3506102;07/05/2020;>50-60%;1;77496;54%
Birigui;SP;3506508;07/05/2020;>40-50%;1;123638;47%
Botucatu;SP;3507506;07/05/2020;>40-50%;1;146497;47%
Bragança Paulista;SP;3507605;07/05/2020;>40-50%;1;168668;45%
Caçapava;SP;3508504;07/05/2020;>50-60%;1;94263;55%
Caieiras;SP;3509007;07/05/2020;>50-60%;1;101470;52%
Cajamar;SP;3509205;07/05/2020;>50-60%;1;76801;54%
Campo Limpo Paulista;SP;3509601;07/05/2020;>50-60%;1;84650;51%
Caraguatatuba;SP;3510500;07/05/2020;>50-60%;1;121532;56%
Catanduva;SP;3511102;07/05/2020;Até 40%;1;121862;38%
Cotia;SP;3513009;07/05/2020;>50-60%;1;249210;52%
