Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;28/04/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;28/04/2020;>40-50%;1;1379182;50%
Campinas;SP;3509502;28/04/2020;>40-50%;1;1204073;46%
São Bernardo do Campo;SP;3548708;28/04/2020;>40-50%;1;838936;49%
São José dos Campos;SP;3549904;28/04/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;28/04/2020;>40-50%;1;718773;49%
Ribeirão Preto;SP;3543402;28/04/2020;Até 40%;1;703293;40%
Osasco;SP;3534401;28/04/2020;>50-60%;1;698418;50%
Sorocaba;SP;3552205;28/04/2020;>40-50%;1;679378;45%
Mauá;SP;3529401;28/04/2020;>50-60%;1;472912;52%
São José do Rio Preto;SP;3549805;28/04/2020;>40-50%;1;460671;41%
Mogi das Cruzes;SP;3530607;28/04/2020;>50-60%;1;445842;52%
Santos;SP;3548500;28/04/2020;>40-50%;1;433311;47%
Diadema;SP;3513801;28/04/2020;>50-60%;1;423884;52%
Jundiaí;SP;3525904;28/04/2020;>40-50%;1;418962;45%
Piracicaba;SP;3538709;28/04/2020;>40-50%;1;404142;45%
Carapicuíba;SP;3510609;28/04/2020;>50-60%;1;400927;52%
Americana;SP;3501608;28/04/2020;>40-50%;1;239597;45%
Amparo;SP;3501905;28/04/2020;>50-60%;1;72195;51%
Araçatuba;SP;3502804;28/04/2020;>40-50%;1;197016;40%
Araraquara;SP;3503208;28/04/2020;>40-50%;1;236072;42%
Araras;SP;3503307;28/04/2020;>40-50%;1;134236;47%
Arujá;SP;3503901;28/04/2020;>50-60%;1;89824;52%
Assis;SP;3504008;28/04/2020;>40-50%;1;104386;46%
Atibaia;SP;3504107;28/04/2020;>40-50%;1;142761;48%
Avaré;SP;3504503;28/04/2020;>40-50%;1;90655;49%
Barretos;SP;3505500;28/04/2020;>40-50%;1;122098;45%
Barueri;SP;3505708;28/04/2020;>40-50%;1;274182;44%
Bauru;SP;3506003;28/04/2020;>40-50%;1;376818;41%
Bebedouro;SP;3506102;28/04/2020;>50-60%;1;77496;55%
Birigui;SP;3506508;28/04/2020;>40-50%;1;123638;49%
Botucatu;SP;3507506;28/04/2020;>40-50%;1;146497;50%
Bragança Paulista;SP;3507605;28/04/2020;>40-50%;1;168668;47%
Caçapava;SP;3508504;28/04/2020;>50-60%;1;94263;56%
Caieiras;SP;3509007;28/04/2020;>50-60%;1;101470;54%
Cajamar;SP;3509205;28/04/2020;>50-60%;1;76801;56%
Campo Limpo Paulista;SP;3509601;28/04/2020;>50-60%;1;84650;54%
Caraguatatuba;SP;3510500;28/04/2020;>50-60%;1;121532;56%
Catanduva;SP;3511102;28/04/2020;Até 40%;1;121862;40%
Cotia;SP;3513009;28/04/2020;>50-60%;1;249210;53%
Cruzeiro;SP;3513405;28/04/2020;>50-60%;1;82238;59%
Cubatão;SP;3513504;28/04/2020;>40-50%;1;130705;50%
Embu das Artes;SP;3515004;28/04/2020;>40-50%;1;273726;50%
Ferraz de Vasconcelos;SP;3515707;28/04/2020;>40-50%;1;194276;50%
Franca;SP;3516200;28/04/2020;>40-50%;1;353187;44%
Francisco Morato;SP;3516309;28/04/2020;>40-50%;1;175844;49%
Franco da Rocha;SP;3516408;28/04/2020;>50-60%;1;154489;52%
Guaratinguetá;SP;3518404;28/04/2020;>50-60%;1;121798;52%
Guarujá;SP;3518701;28/04/2020;>50-60%;1;320459;53%
Hortolândia;SP;3519071;28/04/2020;>40-50%;1;230851;48%
Ibiúna;SP;3519709;28/04/2020;>50-60%;1;78878;57%
Indaiatuba;SP;3520509;28/04/2020;>40-50%;1;251627;49%
Itanhaém;SP;3522109;28/04/2020;>50-60%;1;101816;57%
Itapecerica da Serra;SP;3522208;28/04/2020;>50-60%;1;175693;55%
Itapetininga;SP;3522307;28/04/2020;>50-60%;1;163901;51%
Itapeva;SP;3522406;28/04/2020;>40-50%;1;94354;47%
Itapevi;SP;3522505;28/04/2020;>50-60%;1;237700;51%
Itapira;SP;3522604;28/04/2020;>50-60%;1;74773;50%
Itaquaquecetuba;SP;3523107;28/04/2020;>50-60%;1;370821;54%
Itatiba;SP;3523404;28/04/2020;>40-50%;1;120858;45%
Itu;SP;3523909;28/04/2020;>40-50%;1;173939;47%
Jaboticabal;SP;3524303;28/04/2020;>40-50%;1;77263;47%
Jacareí;SP;3524402;28/04/2020;>50-60%;1;233662;51%
Jandira;SP;3525003;28/04/2020;>40-50%;1;124937;49%
Jaú;SP;3525300;28/04/2020;>40-50%;1;150252;48%
Leme;SP;3526704;28/04/2020;>40-50%;1;103391;50%
Limeira;SP;3526902;28/04/2020;Até 40%;1;306114;39%
Lins;SP;3527108;28/04/2020;>40-50%;1;78013;47%
Lorena;SP;3527207;28/04/2020;>60-70%;1;88706;61%
Mairiporã;SP;3528502;28/04/2020;>50-60%;1;100179;56%
Marília;SP;3529005;28/04/2020;>40-50%;1;238882;45%
Matão;SP;3529302;28/04/2020;>40-50%;1;83170;43%
Mogi Guaçu;SP;3530706;28/04/2020;>40-50%;1;151888;46%
Mogi Mirim;SP;3530805;28/04/2020;>40-50%;1;93189;48%
Ourinhos;SP;3534708;28/04/2020;>50-60%;1;113542;51%
Paulínia;SP;3536505;28/04/2020;>40-50%;1;109424;47%
Pindamonhangaba;SP;3538006;28/04/2020;>50-60%;1;168328;54%
Pirassununga;SP;3539301;28/04/2020;>50-60%;1;76409;53%
Poá;SP;3539806;28/04/2020;>50-60%;1;117452;55%
Praia Grande;SP;3541000;28/04/2020;>50-60%;1;325073;51%
Presidente Prudente;SP;3541406;28/04/2020;>40-50%;1;228743;40%
Ribeirão Pires;SP;3543303;28/04/2020;>50-60%;1;123393;58%
Rio Claro;SP;3543907;28/04/2020;>40-50%;1;206424;50%
Salto;SP;3545209;28/04/2020;>40-50%;1;118663;47%
Santa Bárbara d'Oeste;SP;3545803;28/04/2020;>40-50%;1;193475;43%
Santana de Parnaíba;SP;3547304;28/04/2020;>50-60%;1;139447;52%
São Caetano do Sul;SP;3548807;28/04/2020;>40-50%;1;161127;48%
São Carlos;SP;3548906;28/04/2020;>40-50%;1;251983;49%
São João da Boa Vista;SP;3549102;28/04/2020;>50-60%;1;91211;51%
São Roque;SP;3550605;28/04/2020;>50-60%;1;91016;52%
São Sebastião;SP;3550704;28/04/2020;>60-70%;1;88980;64%
São Vicente;SP;3551009;28/04/2020;>50-60%;1;365798;56%
Sertãozinho;SP;3551702;28/04/2020;>40-50%;1;125815;47%
Sumaré;SP;3552403;28/04/2020;>40-50%;1;282441;43%
Suzano;SP;3552502;28/04/2020;>50-60%;1;297637;52%
Taboão da Serra;SP;3552809;28/04/2020;>40-50%;1;289664;49%
Tatuí;SP;3554003;28/04/2020;>50-60%;1;121766;51%
Taubaté;SP;3554102;28/04/2020;>40-50%;1;314924;48%
Ubatuba;SP;3555406;28/04/2020;>60-70%;1;90799;62%
Valinhos;SP;3556206;28/04/2020;>40-50%;1;129193;48%
Várzea Paulista;SP;3556503;28/04/2020;>40-50%;1;121838;48%
Vinhedo;SP;3556701;28/04/2020;>50-60%;1;78728;51%
Votorantim;SP;3557006;28/04/2020;>40-50%;1;122480;50%
Votuporanga;SP;3557105;28/04/2020;>50-60%;1;94547;54%
