Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;06/05/2020;>40-50%;1;12252023;47%
Guarulhos;SP;3518800;06/05/2020;>40-50%;1;1379182;48%
Campinas;SP;3509502;06/05/2020;>40-50%;1;1204073;45%
São Bernardo do Campo;SP;3548708;06/05/2020;>40-50%;1;838936;47%
São José dos Campos;SP;3549904;06/05/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;06/05/2020;>40-50%;1;718773;48%
Ribeirão Preto;SP;3543402;06/05/2020;Até 40%;1;703293;39%
Osasco;SP;3534401;06/05/2020;>40-50%;1;698418;50%
Sorocaba;SP;3552205;06/05/2020;>40-50%;1;679378;44%
Mauá;SP;3529401;06/05/2020;>40-50%;1;472912;47%
São José do Rio Preto;SP;3549805;06/05/2020;Até 40%;1;460671;39%
Mogi das Cruzes;SP;3530607;06/05/2020;>40-50%;1;445842;50%
Santos;SP;3548500;06/05/2020;>40-50%;1;433311;46%
Diadema;SP;3513801;06/05/2020;>50-60%;1;423884;50%
Jundiaí;SP;3525904;06/05/2020;>40-50%;1;418962;44%
Piracicaba;SP;3538709;06/05/2020;>40-50%;1;404142;43%
Carapicuíba;SP;3510609;06/05/2020;>50-60%;1;400927;50%
Americana;SP;3501608;06/05/2020;>40-50%;1;239597;43%
Amparo;SP;3501905;06/05/2020;>40-50%;1;72195;50%
Araçatuba;SP;3502804;06/05/2020;Até 40%;1;197016;38%
Araraquara;SP;3503208;06/05/2020;>40-50%;1;236072;41%
Araras;SP;3503307;06/05/2020;>40-50%;1;134236;46%
Arujá;SP;3503901;06/05/2020;>50-60%;1;89824;50%
Assis;SP;3504008;06/05/2020;>40-50%;1;104386;46%
Atibaia;SP;3504107;06/05/2020;>40-50%;1;142761;47%
Avaré;SP;3504503;06/05/2020;>40-50%;1;90655;48%
Barretos;SP;3505500;06/05/2020;>40-50%;1;122098;44%
Barueri;SP;3505708;06/05/2020;>40-50%;1;274182;42%
Bauru;SP;3506003;06/05/2020;>40-50%;1;376818;41%
Bebedouro;SP;3506102;06/05/2020;>50-60%;1;77496;53%
Birigui;SP;3506508;06/05/2020;>40-50%;1;123638;48%
Botucatu;SP;3507506;06/05/2020;>40-50%;1;146497;46%
Bragança Paulista;SP;3507605;06/05/2020;>40-50%;1;168668;45%
Caçapava;SP;3508504;06/05/2020;>50-60%;1;94263;53%
Caieiras;SP;3509007;06/05/2020;>50-60%;1;101470;52%
Cajamar;SP;3509205;06/05/2020;>50-60%;1;76801;54%
Campo Limpo Paulista;SP;3509601;06/05/2020;>50-60%;1;84650;51%
Caraguatatuba;SP;3510500;06/05/2020;>50-60%;1;121532;55%
Catanduva;SP;3511102;06/05/2020;Até 40%;1;121862;39%
Cotia;SP;3513009;06/05/2020;>50-60%;1;249210;51%
Cruzeiro;SP;3513405;06/05/2020;>50-60%;1;82238;57%
Cubatão;SP;3513504;06/05/2020;>40-50%;1;130705;48%
Embu das Artes;SP;3515004;06/05/2020;>40-50%;1;273726;48%
Ferraz de Vasconcelos;SP;3515707;06/05/2020;>40-50%;1;194276;48%
Franca;SP;3516200;06/05/2020;>40-50%;1;353187;40%
Francisco Morato;SP;3516309;06/05/2020;>40-50%;1;175844;48%
Franco da Rocha;SP;3516408;06/05/2020;>50-60%;1;154489;50%
Guaratinguetá;SP;3518404;06/05/2020;>40-50%;1;121798;50%
Guarujá;SP;3518701;06/05/2020;>50-60%;1;320459;52%
Hortolândia;SP;3519071;06/05/2020;>40-50%;1;230851;48%
Ibiúna;SP;3519709;06/05/2020;>50-60%;1;78878;55%
Indaiatuba;SP;3520509;06/05/2020;>40-50%;1;251627;49%
Itanhaém;SP;3522109;06/05/2020;>50-60%;1;101816;55%
Itapecerica da Serra;SP;3522208;06/05/2020;>50-60%;1;175693;53%
Itapetininga;SP;3522307;06/05/2020;>40-50%;1;163901;48%
Itapeva;SP;3522406;06/05/2020;>40-50%;1;94354;46%
Itapevi;SP;3522505;06/05/2020;>50-60%;1;237700;50%
Itapira;SP;3522604;06/05/2020;>40-50%;1;74773;48%
Itaquaquecetuba;SP;3523107;06/05/2020;>50-60%;1;370821;53%
Itatiba;SP;3523404;06/05/2020;>40-50%;1;120858;43%
Itu;SP;3523909;06/05/2020;>40-50%;1;173939;45%
Jaboticabal;SP;3524303;06/05/2020;>40-50%;1;77263;44%
Jacareí;SP;3524402;06/05/2020;>40-50%;1;233662;50%
Jandira;SP;3525003;06/05/2020;>40-50%;1;124937;48%
Jaú;SP;3525300;06/05/2020;>40-50%;1;150252;47%
Leme;SP;3526704;06/05/2020;>40-50%;1;103391;44%
Limeira;SP;3526902;06/05/2020;Até 40%;1;306114;37%
Lins;SP;3527108;06/05/2020;>40-50%;1;78013;45%
Lorena;SP;3527207;06/05/2020;>50-60%;1;88706;59%
Mairiporã;SP;3528502;06/05/2020;>50-60%;1;100179;52%
Marília;SP;3529005;06/05/2020;>40-50%;1;238882;44%
Matão;SP;3529302;06/05/2020;>40-50%;1;83170;41%
Mogi Guaçu;SP;3530706;06/05/2020;>40-50%;1;151888;45%
Mogi Mirim;SP;3530805;06/05/2020;>40-50%;1;93189;46%
Ourinhos;SP;3534708;06/05/2020;>50-60%;1;113542;50%
Paulínia;SP;3536505;06/05/2020;>40-50%;1;109424;46%
Pindamonhangaba;SP;3538006;06/05/2020;>50-60%;1;168328;52%
Pirassununga;SP;3539301;06/05/2020;>50-60%;1;76409;51%
Poá;SP;3539806;06/05/2020;>50-60%;1;117452;53%
Praia Grande;SP;3541000;06/05/2020;>40-50%;1;325073;49%
Presidente Prudente;SP;3541406;06/05/2020;Até 40%;1;228743;40%
Ribeirão Pires;SP;3543303;06/05/2020;>50-60%;1;123393;55%
Rio Claro;SP;3543907;06/05/2020;>40-50%;1;206424;48%
Salto;SP;3545209;06/05/2020;>40-50%;1;118663;45%
Santa Bárbara d'Oeste;SP;3545803;06/05/2020;>40-50%;1;193475;42%
Santana de Parnaíba;SP;3547304;06/05/2020;>50-60%;1;139447;51%
São Caetano do Sul;SP;3548807;06/05/2020;>40-50%;1;161127;47%
São Carlos;SP;3548906;06/05/2020;>40-50%;1;251983;47%
São João da Boa Vista;SP;3549102;06/05/2020;>40-50%;1;91211;49%
São Roque;SP;3550605;06/05/2020;>50-60%;1;91016;51%
São Sebastião;SP;3550704;06/05/2020;>60-70%;1;88980;62%
São Vicente;SP;3551009;06/05/2020;>50-60%;1;365798;53%
Sertãozinho;SP;3551702;06/05/2020;>40-50%;1;125815;48%
Sumaré;SP;3552403;06/05/2020;>40-50%;1;282441;42%
Suzano;SP;3552502;06/05/2020;>50-60%;1;297637;51%
Taboão da Serra;SP;3552809;06/05/2020;>40-50%;1;289664;47%
Tatuí;SP;3554003;06/05/2020;>40-50%;1;121766;49%
Taubaté;SP;3554102;06/05/2020;>40-50%;1;314924;46%
Ubatuba;SP;3555406;06/05/2020;>50-60%;1;90799;60%
Valinhos;SP;3556206;06/05/2020;>40-50%;1;129193;47%
Várzea Paulista;SP;3556503;06/05/2020;>40-50%;1;121838;47%
Vinhedo;SP;3556701;06/05/2020;>50-60%;1;78728;51%
Votorantim;SP;3557006;06/05/2020;>40-50%;1;122480;47%
Votuporanga;SP;3557105;06/05/2020;>50-60%;1;94547;53%
