Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;26/04/2020;>50-60%;1;12252023;58%
Guarulhos;SP;3518800;26/04/2020;>60-70%;1;1379182;62%
Campinas;SP;3509502;26/04/2020;>50-60%;1;1204073;57%
São Bernardo do Campo;SP;3548708;26/04/2020;>50-60%;1;838936;59%
São José dos Campos;SP;3549904;26/04/2020;>50-60%;1;721944;59%
Santo André;SP;3547809;26/04/2020;>50-60%;1;718773;59%
Ribeirão Preto;SP;3543402;26/04/2020;>50-60%;1;703293;54%
Osasco;SP;3534401;26/04/2020;>60-70%;1;698418;61%
Sorocaba;SP;3552205;26/04/2020;>50-60%;1;679378;57%
Mauá;SP;3529401;26/04/2020;>60-70%;1;472912;63%
São José do Rio Preto;SP;3549805;26/04/2020;>50-60%;1;460671;53%
Mogi das Cruzes;SP;3530607;26/04/2020;>60-70%;1;445842;62%
Santos;SP;3548500;26/04/2020;>50-60%;1;433311;58%
Diadema;SP;3513801;26/04/2020;>60-70%;1;423884;63%
Jundiaí;SP;3525904;26/04/2020;>50-60%;1;418962;57%
Piracicaba;SP;3538709;26/04/2020;>50-60%;1;404142;56%
Carapicuíba;SP;3510609;26/04/2020;>60-70%;1;400927;63%
Estado de São Paulo;;;26/04/2020;>50-60%;1;;58%
Americana;SP;3501608;26/04/2020;>50-60%;1;239597;57%
Amparo;SP;3501905;26/04/2020;>60-70%;1;72195;63%
Araçatuba;SP;3502804;26/04/2020;>50-60%;1;197016;52%
Araraquara;SP;3503208;26/04/2020;>50-60%;1;236072;53%
Araras;SP;3503307;26/04/2020;>50-60%;1;134236;59%
Arujá;SP;3503901;26/04/2020;>60-70%;1;89824;63%
Assis;SP;3504008;26/04/2020;>50-60%;1;104386;57%
Atibaia;SP;3504107;26/04/2020;>60-70%;1;142761;60%
Avaré;SP;3504503;26/04/2020;>60-70%;1;90655;60%
Barretos;SP;3505500;26/04/2020;>50-60%;1;122098;59%
Barueri;SP;3505708;26/04/2020;>50-60%;1;274182;55%
Bauru;SP;3506003;26/04/2020;>50-60%;1;376818;54%
Bebedouro;SP;3506102;26/04/2020;>60-70%;1;77496;70%
Birigui;SP;3506508;26/04/2020;>50-60%;1;123638;57%
Botucatu;SP;3507506;26/04/2020;>50-60%;1;146497;60%
Bragança Paulista;SP;3507605;26/04/2020;>50-60%;1;168668;57%
Caçapava;SP;3508504;26/04/2020;>60-70%;1;94263;65%
Caieiras;SP;3509007;26/04/2020;>60-70%;1;101470;66%
Cajamar;SP;3509205;26/04/2020;>60-70%;1;76801;69%
Campo Limpo Paulista;SP;3509601;26/04/2020;>60-70%;1;84650;64%
Caraguatatuba;SP;3510500;26/04/2020;>60-70%;1;121532;66%
Catanduva;SP;3511102;26/04/2020;>50-60%;1;121862;52%
Cotia;SP;3513009;26/04/2020;>60-70%;1;249210;63%
Cruzeiro;SP;3513405;26/04/2020;>60-70%;1;82238;68%
Cubatão;SP;3513504;26/04/2020;>60-70%;1;130705;64%
Embu das Artes;SP;3515004;26/04/2020;>60-70%;1;273726;62%
Ferraz de Vasconcelos;SP;3515707;26/04/2020;>60-70%;1;194276;60%
Franca;SP;3516200;26/04/2020;>50-60%;1;353187;60%
Francisco Morato;SP;3516309;26/04/2020;>50-60%;1;175844;59%
Franco da Rocha;SP;3516408;26/04/2020;>50-60%;1;154489;60%
Guaratinguetá;SP;3518404;26/04/2020;>60-70%;1;121798;63%
Guarujá;SP;3518701;26/04/2020;>60-70%;1;320459;61%
Hortolândia;SP;3519071;26/04/2020;>60-70%;1;230851;61%
Ibiúna;SP;3519709;26/04/2020;>60-70%;1;78878;67%
Indaiatuba;SP;3520509;26/04/2020;>50-60%;1;251627;57%
Itanhaém;SP;3522109;26/04/2020;>60-70%;1;101816;65%
Itapecerica da Serra;SP;3522208;26/04/2020;>60-70%;1;175693;65%
Itapetininga;SP;3522307;26/04/2020;>50-60%;1;163901;59%
Itapeva;SP;3522406;26/04/2020;>50-60%;1;94354;55%
Itapevi;SP;3522505;26/04/2020;>60-70%;1;237700;63%
Itapira;SP;3522604;26/04/2020;>60-70%;1;74773;61%
Itaquaquecetuba;SP;3523107;26/04/2020;>60-70%;1;370821;65%
Itatiba;SP;3523404;26/04/2020;>50-60%;1;120858;55%
Itu;SP;3523909;26/04/2020;>50-60%;1;173939;58%
Jaboticabal;SP;3524303;26/04/2020;>50-60%;1;77263;58%
Jacareí;SP;3524402;26/04/2020;>60-70%;1;233662;62%
Jandira;SP;3525003;26/04/2020;>60-70%;1;124937;60%
Jaú;SP;3525300;26/04/2020;>50-60%;1;150252;60%
Leme;SP;3526704;26/04/2020;>60-70%;1;103391;60%
Limeira;SP;3526902;26/04/2020;>50-60%;1;306114;52%
Lins;SP;3527108;26/04/2020;>50-60%;1;78013;59%
Lorena;SP;3527207;26/04/2020;>60-70%;1;88706;69%
Mairiporã;SP;3528502;26/04/2020;>60-70%;1;100179;67%
Marília;SP;3529005;26/04/2020;>50-60%;1;238882;54%
Matão;SP;3529302;26/04/2020;>50-60%;1;83170;53%
Mogi Guaçu;SP;3530706;26/04/2020;>50-60%;1;151888;57%
Mogi Mirim;SP;3530805;26/04/2020;>50-60%;1;93189;58%
Ourinhos;SP;3534708;26/04/2020;>60-70%;1;113542;60%
Paulínia;SP;3536505;26/04/2020;>60-70%;1;109424;62%
Pindamonhangaba;SP;3538006;26/04/2020;>60-70%;1;168328;65%
Pirassununga;SP;3539301;26/04/2020;>60-70%;1;76409;63%
Poá;SP;3539806;26/04/2020;>60-70%;1;117452;66%
Praia Grande;SP;3541000;26/04/2020;>60-70%;1;325073;61%
Presidente Prudente;SP;3541406;26/04/2020;>50-60%;1;228743;53%
Ribeirão Pires;SP;3543303;26/04/2020;>60-70%;1;123393;68%
Rio Claro;SP;3543907;26/04/2020;>60-70%;1;206424;61%
Salto;SP;3545209;26/04/2020;>50-60%;1;118663;59%
Santa Bárbara d'Oeste;SP;3545803;26/04/2020;>50-60%;1;193475;55%
Santana de Parnaíba;SP;3547304;26/04/2020;>60-70%;1;139447;62%
São Caetano do Sul;SP;3548807;26/04/2020;>50-60%;1;161127;56%
São Carlos;SP;3548906;26/04/2020;>60-70%;1;251983;60%
São João da Boa Vista;SP;3549102;26/04/2020;>60-70%;1;91211;62%
São Roque;SP;3550605;26/04/2020;>60-70%;1;91016;63%
São Sebastião;SP;3550704;26/04/2020;>60-70%;1;88980;69%
São Vicente;SP;3551009;26/04/2020;>60-70%;1;365798;68%
Sertãozinho;SP;3551702;26/04/2020;>60-70%;1;125815;65%
Sumaré;SP;3552403;26/04/2020;>50-60%;1;282441;56%
Suzano;SP;3552502;26/04/2020;>60-70%;1;297637;62%
Taboão da Serra;SP;3552809;26/04/2020;>50-60%;1;289664;59%
Tatuí;SP;3554003;26/04/2020;>60-70%;1;121766;61%
Taubaté;SP;3554102;26/04/2020;>50-60%;1;314924;58%
Ubatuba;SP;3555406;26/04/2020;>60-70%;1;90799;69%
Valinhos;SP;3556206;26/04/2020;>50-60%;1;129193;58%
Várzea Paulista;SP;3556503;26/04/2020;>50-60%;1;121838;58%
Vinhedo;SP;3556701;26/04/2020;>60-70%;1;78728;62%
Votorantim;SP;3557006;26/04/2020;>50-60%;1;122480;59%
Votuporanga;SP;3557105;26/04/2020;>60-70%;1;94547;65%
