Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;08/05/2020;>40-50%;1;12252023;46%
Guarulhos;SP;3518800;08/05/2020;>40-50%;1;1379182;47%
Campinas;SP;3509502;08/05/2020;>40-50%;1;1204073;43%
São Bernardo do Campo;SP;3548708;08/05/2020;>40-50%;1;838936;46%
São José dos Campos;SP;3549904;08/05/2020;>40-50%;1;721944;46%
Santo André;SP;3547809;08/05/2020;>40-50%;1;718773;46%
Ribeirão Preto;SP;3543402;08/05/2020;Até 40%;1;703293;38%
Osasco;SP;3534401;08/05/2020;>40-50%;1;698418;48%
Sorocaba;SP;3552205;08/05/2020;>40-50%;1;679378;42%
Mauá;SP;3529401;08/05/2020;>40-50%;1;472912;49%
São José do Rio Preto;SP;3549805;08/05/2020;Até 40%;1;460671;37%
Mogi das Cruzes;SP;3530607;08/05/2020;>40-50%;1;445842;49%
Santos;SP;3548500;08/05/2020;>40-50%;1;433311;45%
Diadema;SP;3513801;08/05/2020;>40-50%;1;423884;49%
Jundiaí;SP;3525904;08/05/2020;>40-50%;1;418962;42%
Piracicaba;SP;3538709;08/05/2020;>40-50%;1;404142;41%
Carapicuíba;SP;3510609;08/05/2020;>40-50%;1;400927;49%
Americana;SP;3501608;08/05/2020;>40-50%;1;239597;42%
Amparo;SP;3501905;08/05/2020;>40-50%;1;72195;48%
Araçatuba;SP;3502804;08/05/2020;Até 40%;1;197016;37%
Araraquara;SP;3503208;08/05/2020;Até 40%;1;236072;38%
Araras;SP;3503307;08/05/2020;>40-50%;1;134236;44%
Arujá;SP;3503901;08/05/2020;>40-50%;1;89824;49%
Assis;SP;3504008;08/05/2020;>40-50%;1;104386;43%
Atibaia;SP;3504107;08/05/2020;>40-50%;1;142761;45%
Avaré;SP;3504503;08/05/2020;>40-50%;1;90655;45%
Barretos;SP;3505500;08/05/2020;>40-50%;1;122098;42%
Barueri;SP;3505708;08/05/2020;>40-50%;1;274182;41%
Bauru;SP;3506003;08/05/2020;Até 40%;1;376818;38%
Bebedouro;SP;3506102;08/05/2020;>50-60%;1;77496;53%
Birigui;SP;3506508;08/05/2020;>40-50%;1;123638;45%
Botucatu;SP;3507506;08/05/2020;>40-50%;1;146497;45%
Bragança Paulista;SP;3507605;08/05/2020;>40-50%;1;168668;42%
Caçapava;SP;3508504;08/05/2020;>50-60%;1;94263;53%
Caieiras;SP;3509007;08/05/2020;>40-50%;1;101470;49%
Cajamar;SP;3509205;08/05/2020;>50-60%;1;76801;50%
Campo Limpo Paulista;SP;3509601;08/05/2020;>40-50%;1;84650;49%
Caraguatatuba;SP;3510500;08/05/2020;>50-60%;1;121532;53%
Catanduva;SP;3511102;08/05/2020;Até 40%;1;121862;37%
Cotia;SP;3513009;08/05/2020;>40-50%;1;249210;50%
Cruzeiro;SP;3513405;08/05/2020;>50-60%;1;82238;54%
Cubatão;SP;3513504;08/05/2020;>40-50%;1;130705;48%
Embu das Artes;SP;3515004;08/05/2020;>40-50%;1;273726;48%
Ferraz de Vasconcelos;SP;3515707;08/05/2020;>40-50%;1;194276;47%
Franca;SP;3516200;08/05/2020;>40-50%;1;353187;42%
Francisco Morato;SP;3516309;08/05/2020;>40-50%;1;175844;46%
Franco da Rocha;SP;3516408;08/05/2020;>40-50%;1;154489;49%
Guaratinguetá;SP;3518404;08/05/2020;>40-50%;1;121798;49%
Guarujá;SP;3518701;08/05/2020;>50-60%;1;320459;51%
Hortolândia;SP;3519071;08/05/2020;>40-50%;1;230851;46%
Ibiúna;SP;3519709;08/05/2020;>50-60%;1;78878;54%
Indaiatuba;SP;3520509;08/05/2020;>40-50%;1;251627;47%
Itanhaém;SP;3522109;08/05/2020;>50-60%;1;101816;54%
Itapecerica da Serra;SP;3522208;08/05/2020;>50-60%;1;175693;54%
Itapetininga;SP;3522307;08/05/2020;>40-50%;1;163901;46%
Itapeva;SP;3522406;08/05/2020;>40-50%;1;94354;44%
Itapevi;SP;3522505;08/05/2020;>40-50%;1;237700;49%
Itapira;SP;3522604;08/05/2020;>40-50%;1;74773;46%
Itaquaquecetuba;SP;3523107;08/05/2020;>50-60%;1;370821;51%
Itatiba;SP;3523404;08/05/2020;>40-50%;1;120858;41%
Itu;SP;3523909;08/05/2020;>40-50%;1;173939;43%
Jaboticabal;SP;3524303;08/05/2020;>40-50%;1;77263;41%
Jacareí;SP;3524402;08/05/2020;>40-50%;1;233662;48%
Jandira;SP;3525003;08/05/2020;>40-50%;1;124937;47%
Jaú;SP;3525300;08/05/2020;>40-50%;1;150252;44%
Leme;SP;3526704;08/05/2020;>40-50%;1;103391;47%
Limeira;SP;3526902;08/05/2020;Até 40%;1;306114;36%
Lins;SP;3527108;08/05/2020;>40-50%;1;78013;43%
Lorena;SP;3527207;08/05/2020;>50-60%;1;88706;58%
Mairiporã;SP;3528502;08/05/2020;>50-60%;1;100179;53%
Marília;SP;3529005;08/05/2020;>40-50%;1;238882;41%
Matão;SP;3529302;08/05/2020;>40-50%;1;83170;41%
Mogi Guaçu;SP;3530706;08/05/2020;>40-50%;1;151888;44%
Mogi Mirim;SP;3530805;08/05/2020;>40-50%;1;93189;45%
Ourinhos;SP;3534708;08/05/2020;>40-50%;1;113542;48%
Paulínia;SP;3536505;08/05/2020;>40-50%;1;109424;45%
Pindamonhangaba;SP;3538006;08/05/2020;>50-60%;1;168328;51%
Pirassununga;SP;3539301;08/05/2020;>50-60%;1;76409;50%
Poá;SP;3539806;08/05/2020;>50-60%;1;117452;51%
Praia Grande;SP;3541000;08/05/2020;>40-50%;1;325073;46%
Presidente Prudente;SP;3541406;08/05/2020;Até 40%;1;228743;37%
Ribeirão Pires;SP;3543303;08/05/2020;>50-60%;1;123393;50%
Rio Claro;SP;3543907;08/05/2020;>40-50%;1;206424;46%
Salto;SP;3545209;08/05/2020;>40-50%;1;118663;44%
Santa Bárbara d'Oeste;SP;3545803;08/05/2020;>40-50%;1;193475;41%
Santana de Parnaíba;SP;3547304;08/05/2020;>40-50%;1;139447;50%
São Caetano do Sul;SP;3548807;08/05/2020;>40-50%;1;161127;45%
São Carlos;SP;3548906;08/05/2020;>40-50%;1;251983;46%
São João da Boa Vista;SP;3549102;08/05/2020;>40-50%;1;91211;47%
São Roque;SP;3550605;08/05/2020;>40-50%;1;91016;49%
São Sebastião;SP;3550704;08/05/2020;>60-70%;1;88980;65%
São Vicente;SP;3551009;08/05/2020;>50-60%;1;365798;53%
Sertãozinho;SP;3551702;08/05/2020;>40-50%;1;125815;47%
Sumaré;SP;3552403;08/05/2020;>40-50%;1;282441;41%
Suzano;SP;3552502;08/05/2020;>40-50%;1;297637;49%
Taboão da Serra;SP;3552809;08/05/2020;>40-50%;1;289664;45%
Tatuí;SP;3554003;08/05/2020;>40-50%;1;121766;48%
Taubaté;SP;3554102;08/05/2020;>40-50%;1;314924;45%
Ubatuba;SP;3555406;08/05/2020;>60-70%;1;90799;60%
Valinhos;SP;3556206;08/05/2020;>40-50%;1;129193;45%
Várzea Paulista;SP;3556503;08/05/2020;>40-50%;1;121838;45%
Vinhedo;SP;3556701;08/05/2020;>40-50%;1;78728;49%
Votorantim;SP;3557006;08/05/2020;>40-50%;1;122480;45%
Votuporanga;SP;3557105;08/05/2020;>50-60%;1;94547;51%
