Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;25/04/2020;>50-60%;1;12252023;52%
Guarulhos;SP;3518800;25/04/2020;>50-60%;1;1379182;55%
Campinas;SP;3509502;25/04/2020;>50-60%;1;1204073;52%
São Bernardo do Campo;SP;3548708;25/04/2020;>50-60%;1;838936;53%
São José dos Campos;SP;3549904;25/04/2020;>50-60%;1;721944;52%
Santo André;SP;3547809;25/04/2020;>50-60%;1;718773;51%
Ribeirão Preto;SP;3543402;25/04/2020;>40-50%;1;703293;47%
Osasco;SP;3534401;25/04/2020;>50-60%;1;698418;55%
Sorocaba;SP;3552205;25/04/2020;>50-60%;1;679378;50%
Mauá;SP;3529401;25/04/2020;>50-60%;1;472912;56%
São José do Rio Preto;SP;3549805;25/04/2020;>40-50%;1;460671;46%
Mogi das Cruzes;SP;3530607;25/04/2020;>50-60%;1;445842;55%
Santos;SP;3548500;25/04/2020;>50-60%;1;433311;52%
Diadema;SP;3513801;25/04/2020;>50-60%;1;423884;57%
Jundiaí;SP;3525904;25/04/2020;>40-50%;1;418962;50%
Piracicaba;SP;3538709;25/04/2020;>40-50%;1;404142;50%
Carapicuíba;SP;3510609;25/04/2020;>50-60%;1;400927;56%
Estado de São Paulo;;;25/04/2020;>50-60%;1;;52%
Americana;SP;3501608;25/04/2020;>40-50%;1;239597;50%
Amparo;SP;3501905;25/04/2020;>50-60%;1;72195;55%
Araçatuba;SP;3502804;25/04/2020;>40-50%;1;197016;45%
Araraquara;SP;3503208;25/04/2020;>40-50%;1;236072;47%
Araras;SP;3503307;25/04/2020;>50-60%;1;134236;52%
Arujá;SP;3503901;25/04/2020;>50-60%;1;89824;57%
Assis;SP;3504008;25/04/2020;>50-60%;1;104386;50%
Atibaia;SP;3504107;25/04/2020;>50-60%;1;142761;53%
Avaré;SP;3504503;25/04/2020;>50-60%;1;90655;53%
Barretos;SP;3505500;25/04/2020;>50-60%;1;122098;51%
Barueri;SP;3505708;25/04/2020;>40-50%;1;274182;48%
Bauru;SP;3506003;25/04/2020;>40-50%;1;376818;47%
Bebedouro;SP;3506102;25/04/2020;>60-70%;1;77496;62%
Birigui;SP;3506508;25/04/2020;>50-60%;1;123638;52%
Botucatu;SP;3507506;25/04/2020;>50-60%;1;146497;54%
Bragança Paulista;SP;3507605;25/04/2020;>50-60%;1;168668;51%
Caçapava;SP;3508504;25/04/2020;>50-60%;1;94263;59%
Caieiras;SP;3509007;25/04/2020;>50-60%;1;101470;59%
Cajamar;SP;3509205;25/04/2020;>60-70%;1;76801;61%
Campo Limpo Paulista;SP;3509601;25/04/2020;>50-60%;1;84650;57%
Caraguatatuba;SP;3510500;25/04/2020;>60-70%;1;121532;60%
Catanduva;SP;3511102;25/04/2020;>40-50%;1;121862;45%
Cotia;SP;3513009;25/04/2020;>50-60%;1;249210;56%
Cruzeiro;SP;3513405;25/04/2020;>60-70%;1;82238;63%
Cubatão;SP;3513504;25/04/2020;>50-60%;1;130705;53%
Embu das Artes;SP;3515004;25/04/2020;>50-60%;1;273726;54%
Ferraz de Vasconcelos;SP;3515707;25/04/2020;>50-60%;1;194276;54%
Franca;SP;3516200;25/04/2020;>40-50%;1;353187;50%
Francisco Morato;SP;3516309;25/04/2020;>50-60%;1;175844;53%
Franco da Rocha;SP;3516408;25/04/2020;>50-60%;1;154489;56%
Guaratinguetá;SP;3518404;25/04/2020;>50-60%;1;121798;57%
Guarujá;SP;3518701;25/04/2020;>50-60%;1;320459;57%
Hortolândia;SP;3519071;25/04/2020;>50-60%;1;230851;55%
Ibiúna;SP;3519709;25/04/2020;>50-60%;1;78878;60%
Indaiatuba;SP;3520509;25/04/2020;>50-60%;1;251627;52%
Itanhaém;SP;3522109;25/04/2020;>60-70%;1;101816;61%
Itapecerica da Serra;SP;3522208;25/04/2020;>50-60%;1;175693;59%
Itapetininga;SP;3522307;25/04/2020;>50-60%;1;163901;53%
Itapeva;SP;3522406;25/04/2020;>40-50%;1;94354;49%
Itapevi;SP;3522505;25/04/2020;>50-60%;1;237700;55%
Itapira;SP;3522604;25/04/2020;>50-60%;1;74773;54%
Itaquaquecetuba;SP;3523107;25/04/2020;>50-60%;1;370821;57%
Itatiba;SP;3523404;25/04/2020;>40-50%;1;120858;48%
Itu;SP;3523909;25/04/2020;>50-60%;1;173939;51%
Jaboticabal;SP;3524303;25/04/2020;>40-50%;1;77263;50%
Jacareí;SP;3524402;25/04/2020;>50-60%;1;233662;56%
Jandira;SP;3525003;25/04/2020;>50-60%;1;124937;52%
Jaú;SP;3525300;25/04/2020;>50-60%;1;150252;52%
Leme;SP;3526704;25/04/2020;>50-60%;1;103391;54%
Limeira;SP;3526902;25/04/2020;>40-50%;1;306114;45%
Lins;SP;3527108;25/04/2020;>50-60%;1;78013;51%
Lorena;SP;3527207;25/04/2020;>60-70%;1;88706;64%
Mairiporã;SP;3528502;25/04/2020;>60-70%;1;100179;60%
Marília;SP;3529005;25/04/2020;>40-50%;1;238882;48%
Matão;SP;3529302;25/04/2020;>40-50%;1;83170;48%
Mogi Guaçu;SP;3530706;25/04/2020;>50-60%;1;151888;52%
Mogi Mirim;SP;3530805;25/04/2020;>50-60%;1;93189;54%
Ourinhos;SP;3534708;25/04/2020;>50-60%;1;113542;54%
Paulínia;SP;3536505;25/04/2020;>50-60%;1;109424;53%
Pindamonhangaba;SP;3538006;25/04/2020;>50-60%;1;168328;59%
Pirassununga;SP;3539301;25/04/2020;>50-60%;1;76409;59%
Poá;SP;3539806;25/04/2020;>50-60%;1;117452;59%
Praia Grande;SP;3541000;25/04/2020;>50-60%;1;325073;55%
Presidente Prudente;SP;3541406;25/04/2020;>40-50%;1;228743;46%
Ribeirão Pires;SP;3543303;25/04/2020;>60-70%;1;123393;61%
Rio Claro;SP;3543907;25/04/2020;>50-60%;1;206424;55%
Salto;SP;3545209;25/04/2020;>50-60%;1;118663;53%
Santa Bárbara d'Oeste;SP;3545803;25/04/2020;>40-50%;1;193475;49%
Santana de Parnaíba;SP;3547304;25/04/2020;>50-60%;1;139447;56%
