Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;27/04/2020;>40-50%;1;12252023;48%
Guarulhos;SP;3518800;27/04/2020;>50-60%;1;1379182;50%
Campinas;SP;3509502;27/04/2020;>40-50%;1;1204073;46%
São Bernardo do Campo;SP;3548708;27/04/2020;>40-50%;1;838936;49%
São José dos Campos;SP;3549904;27/04/2020;>40-50%;1;721944;48%
Santo André;SP;3547809;27/04/2020;>40-50%;1;718773;48%
Ribeirão Preto;SP;3543402;27/04/2020;>40-50%;1;703293;41%
Osasco;SP;3534401;27/04/2020;>50-60%;1;698418;51%
Sorocaba;SP;3552205;27/04/2020;>40-50%;1;679378;46%
Mauá;SP;3529401;27/04/2020;>50-60%;1;472912;52%
São José do Rio Preto;SP;3549805;27/04/2020;>40-50%;1;460671;40%
Mogi das Cruzes;SP;3530607;27/04/2020;>50-60%;1;445842;52%
Santos;SP;3548500;27/04/2020;>40-50%;1;433311;48%
Diadema;SP;3513801;27/04/2020;>50-60%;1;423884;51%
Jundiaí;SP;3525904;27/04/2020;>40-50%;1;418962;46%
Piracicaba;SP;3538709;27/04/2020;>40-50%;1;404142;46%
Carapicuíba;SP;3510609;27/04/2020;>50-60%;1;400927;52%
Americana;SP;3501608;27/04/2020;>40-50%;1;239597;45%
Amparo;SP;3501905;27/04/2020;>50-60%;1;72195;51%
Araçatuba;SP;3502804;27/04/2020;>40-50%;1;197016;41%
Araraquara;SP;3503208;27/04/2020;>40-50%;1;236072;43%
Araras;SP;3503307;27/04/2020;>40-50%;1;134236;49%
Arujá;SP;3503901;27/04/2020;>50-60%;1;89824;52%
Assis;SP;3504008;27/04/2020;>40-50%;1;104386;47%
Atibaia;SP;3504107;27/04/2020;>40-50%;1;142761;48%
Avaré;SP;3504503;27/04/2020;>40-50%;1;90655;49%
Barretos;SP;3505500;27/04/2020;>40-50%;1;122098;46%
Barueri;SP;3505708;27/04/2020;>40-50%;1;274182;43%
Bauru;SP;3506003;27/04/2020;>40-50%;1;376818;42%
Bebedouro;SP;3506102;27/04/2020;>50-60%;1;77496;56%
Birigui;SP;3506508;27/04/2020;>40-50%;1;123638;48%
Botucatu;SP;3507506;27/04/2020;>40-50%;1;146497;49%
Bragança Paulista;SP;3507605;27/04/2020;>40-50%;1;168668;47%
Caçapava;SP;3508504;27/04/2020;>50-60%;1;94263;56%
Caieiras;SP;3509007;27/04/2020;>50-60%;1;101470;54%
Cajamar;SP;3509205;27/04/2020;>50-60%;1;76801;57%
Campo Limpo Paulista;SP;3509601;27/04/2020;>50-60%;1;84650;53%
Caraguatatuba;SP;3510500;27/04/2020;>50-60%;1;121532;56%
Catanduva;SP;3511102;27/04/2020;Até 40%;1;121862;40%
Cotia;SP;3513009;27/04/2020;>50-60%;1;249210;51%
Cruzeiro;SP;3513405;27/04/2020;>50-60%;1;82238;60%
Cubatão;SP;3513504;27/04/2020;>40-50%;1;130705;50%
Embu das Artes;SP;3515004;27/04/2020;>40-50%;1;273726;50%
Ferraz de Vasconcelos;SP;3515707;27/04/2020;>40-50%;1;194276;50%
Franca;SP;3516200;27/04/2020;>40-50%;1;353187;43%
Francisco Morato;SP;3516309;27/04/2020;>40-50%;1;175844;50%
Franco da Rocha;SP;3516408;27/04/2020;>50-60%;1;154489;52%
Guaratinguetá;SP;3518404;27/04/2020;>50-60%;1;121798;52%
Guarujá;SP;3518701;27/04/2020;>50-60%;1;320459;52%
Hortolândia;SP;3519071;27/04/2020;>40-50%;1;230851;49%
Ibiúna;SP;3519709;27/04/2020;>50-60%;1;78878;55%
Indaiatuba;SP;3520509;27/04/2020;>40-50%;1;251627;50%
Itanhaém;SP;3522109;27/04/2020;>50-60%;1;101816;56%
Itapecerica da Serra;SP;3522208;27/04/2020;>50-60%;1;175693;54%
Itapetininga;SP;3522307;27/04/2020;>40-50%;1;163901;50%
Itapeva;SP;3522406;27/04/2020;>40-50%;1;94354;46%
Itapevi;SP;3522505;27/04/2020;>50-60%;1;237700;51%
Itapira;SP;3522604;27/04/2020;>50-60%;1;74773;51%
Itaquaquecetuba;SP;3523107;27/04/2020;>50-60%;1;370821;54%
Itatiba;SP;3523404;27/04/2020;>40-50%;1;120858;45%
Itu;SP;3523909;27/04/2020;>40-50%;1;173939;47%
Jaboticabal;SP;3524303;27/04/2020;>40-50%;1;77263;46%
Jacareí;SP;3524402;27/04/2020;>40-50%;1;233662;50%
Jandira;SP;3525003;27/04/2020;>40-50%;1;124937;49%
Jaú;SP;3525300;27/04/2020;>40-50%;1;150252;49%
Leme;SP;3526704;27/04/2020;>40-50%;1;103391;50%
