"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"BA","BARRA DO CHOÇA",31603,"cidade",-40.579058,-14.865423,"29",0.551,71.21,0.44,84.74,266.13,765.936,41.2606275197928
"BA","BARRA DO MENDES",13865,"cidade",-42.058999,-11.81,"29",0.63,72.04,0.57,82.91,292.41,1586.629,8.73865282936339
"BA","BARRA DO ROCHA",5714,"cidade",-39.599098,-14.199994,"29",0.577,67.29,0.52,79.98,304.56,214.411,26.6497521115988
"BA","BARREIRAS",155439,"cidade",-44.996838,-12.143864,"29",0.721,73.43,0.56,92.32,602.82,8051.274,19.306137140532
"BA","BARRO ALTO",14931,"cidade",-41.905441,-11.760493,"29",0.607,69.36,0.51,94.62,247.32,414.51,36.0208438879641
"BA","BARROCAS",15978,"cidade",-39.077594,-11.527222,"29",0.61,72.18,0.46,75.69,284.41,207.297,77.07781588735
"BA","BARRO PRETO",5591,"cidade",-39.476029,-14.794773,"29",0.602,69.63,0.49,88.02,287.6,201.585,27.7351985514795
"BA","BELMONTE",23328,"cidade",-38.87578,-15.860789,"29",0.598,71.26,0.5,88.68,289.9,1939.447,12.0281709167613
"BA","BELO CAMPO",17211,"cidade",-41.265172,-15.033362,"29",0.575,70.59,0.49,64.56,263.52,772.756,22.2722308205954
"BA","BIRITINGA",15979,"cidade",-38.805055,-11.607156,"29",0.538,69.26,0.55,87.91,209.37,553.762,28.8553566333551
"BA","BOA NOVA",12633,"cidade",-40.206444,-14.359754,"29",0.567,70.18,0.51,71.58,223.48,849.538,14.8704354602148
"BA","BOA VISTA DO TUPIM",18576,"cidade",-40.606376,-12.649774,"29",0.551,68.75,0.56,60.35,195.71,2972.109,6.25010724707607
"BA","BOM JESUS DA LAPA",69148,"cidade",-43.410754,-13.250571,"29",0.633,71.51,0.6,79.72,367.62,4115.51,16.8018058515227
