"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"AL","Igaci",25631,"cidade",-36.637191,-9.537678,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Igreja Nova",24499,"cidade",-36.659705,-10.123463,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Inhapi",18385,"cidade",-37.750871,-9.225936,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jacaré dos Homens",5253,"cidade",-37.207636,-9.635446,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jacuípe",7021,"cidade",-35.459074,-8.83951,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Japaratinga",8361,"cidade",-35.263403,-9.087464,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jaramataia",5770,"cidade",-37.004558,-9.662243,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jequiá da Praia",11580,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Joaquim Gomes",23993,"cidade",-35.747381,-9.132805,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jundiá",4155,"cidade",-35.566925,-8.932968,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Junqueiro",24727,"cidade",-36.480346,-9.906961,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Lagoa da Canoa",17852,"cidade",-36.741257,-9.832909,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Limoeiro de Anadia",28635,"cidade",-36.512097,-9.740983,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Maceió",1018948,"cidade",-35.73496,-9.665985,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Major Isidoro",19804,"cidade",-36.992006,-9.530086,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Mar Vermelho",3514,"cidade",-36.388076,-9.447393,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Maragogi",32704,"cidade",-35.226692,-9.007443,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Maravilha",9163,"cidade",-37.352419,-9.230449,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Marechal Deodoro",51901,"cidade",-35.896731,-9.709715,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Maribondo",13264,"cidade",-36.304488,-9.583528,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Mata Grande",25216,"cidade",-37.732298,-9.118243,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Matriz de Camaragibe",24642,"cidade",-35.524302,-9.154373,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Messias",17856,"cidade",-35.839182,-9.393843,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Minador do Negrão",5329,"cidade",-36.869553,-9.312358,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Monteirópolis",7159,"cidade",-37.250463,-9.603569,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Murici",28236,"cidade",-35.942798,-9.306823,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Novo Lino",12690,"cidade",-35.664001,-8.941905,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Olho d'Água das Flores",21688,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Olho d'Água do Casado",9373,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Olho d'Água Grande",5123,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Olivença",11624,"cidade",-37.195441,-9.519538,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Ouro Branco",11496,"cidade",-37.355639,-9.158842,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Palestina",5011,"cidade",-37.339037,-9.674928,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Palmeira dos Índios",73218,"cidade",-36.632812,-9.405681,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Pão de Açúcar",24399,"cidade",-37.440336,-9.740325,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Pariconha",10533,"cidade",-37.998751,-9.256342,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Paripueira",13176,"cidade",-35.551977,-9.463133,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Passo de Camaragibe",15245,"cidade",-35.47449,-9.24511,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Paulo Jacinto",7564,"cidade",-36.367241,-9.367918,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Penedo",63683,"cidade",-36.581905,-10.287422,NA,NA,NA,NA,NA,NA,NA,NA
