UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
35,São Paulo,04,Bauru,022,Avaré,00550,3500550,Águas de Santa Bárbara
35,São Paulo,06,Piracicaba,028,Piracicaba,00600,3500600,Águas de São Pedro
31,Minas Gerais,04,Vale do Mucuri,016,Nanuque,00906,3100906,Águas Formosas
42,Santa Catarina,01,Oeste Catarinense,002,Chapecó,00556,4200556,Águas Frias
52,Goiás,04,Leste Goiano,012,Entorno de Brasília,00258,5200258,Águas Lindas de Goiás
42,Santa Catarina,05,Grande Florianópolis,017,Tabuleiro,00606,4200606,Águas Mornas
31,Minas Gerais,02,Norte de Minas,005,Salinas,01003,3101003,Águas Vermelhas
43,Rio Grande do Sul,03,Centro Ocidental Rio-grandense,019,Restinga Seca,00109,4300109,Agudo
35,São Paulo,04,Bauru,020,Bauru,00709,3500709,Agudos
41,Paraná,10,Metropolitana de Curitiba,039,Rio Negro,00301,4100301,Agudos do Sul
32,Espírito Santo,01,Noroeste Espírito-santense,002,Nova Venécia,00136,3200136,Águia Branca
25,Paraíba,01,Sertão Paraibano,005,Piancó,00205,2500205,Aguiar
17,Tocantins,01,Ocidental do Tocantins,001,Bico do Papagaio,00301,1700301,Aguiarnópolis
31,Minas Gerais,08,Vale do Rio Doce,041,Aimorés,01102,3101102,Aimorés
29,Bahia,06,Centro Sul Baiano,024,Jequié,00603,2900603,Aiquara
23,Ceará,04,Sertões Cearenses,020,Sertão de Inhamuns,00408,2300408,Aiuaba
31,Minas Gerais,10,Sul/Sudoeste de Minas,055,Andrelândia,01201,3101201,Aiuruoca
43,Rio Grande do Sul,01,Noroeste Rio-grandense,008,Ijuí,00208,4300208,Ajuricaba
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,01300,3101300,Alagoa
25,Paraíba,03,Agreste Paraibano,015,Brejo Paraibano,00304,2500304,Alagoa Grande
25,Paraíba,03,Agreste Paraibano,015,Brejo Paraibano,00403,2500403,Alagoa Nova
25,Paraíba,03,Agreste Paraibano,016,Guarabira,00502,2500502,Alagoinha
26,Pernambuco,03,Agreste Pernambucano,008,Vale do Ipojuca,00609,2600609,Alagoinha
22,Piauí,04,Sudeste Piauiense,014,Pio IX,00251,2200251,Alagoinha do Piauí
29,Bahia,04,Nordeste Baiano,017,Alagoinhas,00702,2900702,Alagoinhas
35,São Paulo,11,Itapetininga,042,Itapetininga,00758,3500758,Alambari
31,Minas Gerais,10,Sul/Sudoeste de Minas,051,Poços de Caldas,01409,3101409,Albertina
21,Maranhão,01,Norte Maranhense,001,Litoral Ocidental Maranhense,00204,2100204,Alcântara
23,Ceará,01,Noroeste Cearense,004,Meruoca,00507,2300507,Alcântaras
